doc_id,sentence,spanish_sentence,arabic_sentence,chinese_sentence,japanese_sentence,back_to_english_sentence
10,"Bruh, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
11,"Fam, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بصدق,  أنا قليلًا متوتر.","欢迎你们,  他说了实话,  我有点紧张.",ようこそ、  彼は本当のことを言った、  私は少し緊張している。,"Welcome, he told the truth, I'm a bit nervous."
12,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的海啸。,私は男性です。これは完全に自然の津波です。,I am a man. This is a completely natural tsunami.
13,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的海啸。,私は男性です。これは完全に自然の津波です。,I am a man. This is a completely natural tsunami.
14,"Bruh, you ghosted again","Hombre, me has vuelto a dejar de lado de nuevo.",إنسان، أهملتني مرة أخرى.,人类，还是忽视了我。,人間は私を無視した。,People ignored me.
15,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
16,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
17,"Mate, pull up or stay sus","Amigo, sube o quédate aquí.",أهلاً أصدقائي، ارجع أو ماذا تفعل هنا.,欢迎各位朋友，回去还是在这里做什么。,歓迎各位の方、帰るかここで何をするか。,"Welcome, everyone, are you going to leave or do something here?"
18,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
19,"Bruh, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の趣味があります。,"I'm an ordinary person, but I have some hobbies."
20,"Dude, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の興味を持っています。,"I'm an ordinary person, but I have a certain interest."
21,"Bruh, big yikes","Hombre, gran asco",إنسان، عارض كبير,人类，主要反对者,人間、主な反対者,"Human, main opponent."
22,"Bro, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
23,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقبتك، سايغما,我爱你，轻轻地抚摸你的脖子，Σ,私はあなたを愛している、あなたの首に優しく触れて。,"I love you, gently touch your neck."
24,"Mate, this vibe is straight mid","Amigo, esta vibra es completamente normal.","أحبك, هذه الحالة طبيعية تمامًا.",我爱你，这种情况完全正常。,私はあなたを愛している、このような事態は完全に正常だ。,"I love you, this kind of situation is completely normal."
25,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
26,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
27,"Fam, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まってください。,"Please stay here, or come here, or stay there."
28,"Yo, this vibe is straight mid","Yo, esta vibra es directa y del medio.",أنا، هذه الفائقة مباشرة ووسطى.,我是直接和中立的。,私は直接かつ中立的なものである。,I am direct and neutral.
29,"Mate, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。情熱を表している。,I love you. I'm showing my passion.
30,"Sis, big yikes","Ay, caramba grande.",أوه، كارامبا كبيرة.,哦，卡拉马布很大。,ああ、カルマーブは大きい。,"Oh, Karma is big."
31,"Bruh, skibidi outta here, sigma style","Hombre, skibidi fuera de aquí, estilo sigma","أهلاً بكم, أخرجوا من هنا, سايغما","欢迎你们, 请离开这里, sigma",ようこそしたいと思います、ここを出てください、シグマ,"Welcome to join, please leave here, Sigma."
32,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな言葉を言われることはとても失礼だ。,"Even though I love you, it's very impolite to say such words to me."
33,"Fam, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。情熱を表している。,I love you. I'm showing my passion.
34,"Yo, pull up or stay sus","Yo, sube o quédate aquí.","أنا, صعد أو بقى هنا.","我, 或者是留在这里。",私、またはここに残る。,"I'll stay here, or I'll be left behind."
35,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
36,"Bro, whole squad waitin’","Hermano, toda la escuadra está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
37,"Mate, pull up or stay sus","Amigo, sube o quédate aquí.",أهلاً أصدقائي، ارجع أو ماذا تفعل هنا.,欢迎各位朋友，回去还是在这里做什么。,歓迎各位の方、帰るかここで何をするか。,"Welcome, everyone, are you going to leave or do something here?"
38,"Sis, stop cappin’, lowkey annoyed","Hermana, deja de hablar por hablar, estoy un poco molesta.",أختي، توقف عن الكلام، أنا قليلاً غاضبة.,我的妹妹，請你停一下，我的情绪有点激动。,私の妹は、ちょっと待ってください。私は感情が激しいです。,"My sister, please wait a moment. I'm very emotional."
39,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
40,"Bruh, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
41,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
42,"Dude, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の興味を持っています。,"I'm an ordinary person, but I have a certain interest."
43,"Bruh, you ghosted again","Hombre, me has vuelto a dejar de lado de nuevo.",إنسان، أهملتني مرة أخرى.,人类，还是忽视了我。,人間は私を無視した。,People ignored me.
44,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
45,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな侮辱はとても大きい,"Despite the fact that I love you, such an insult is very big."
46,"Bro, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
47,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
48,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little weed."
49,"Fam, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
50,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
51,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
52,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
53,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقصة السكبدي، طريقة سيغما,我爱你，跳一支斯基波舞，Sigma的方式,私があなたを愛している、スキップダンスを一曲、シグマのスタイルで,"I love you, skipping one song, in the style of Sigma."
54,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
55,"Mate, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقصة السكبدي، طريقة سيغما,我爱你，跳一支斯基波舞，Sigma的方式,私があなたを愛している、スキップダンスを一曲、シグマのスタイルで,"I love you, skipping one song, in the style of Sigma."
56,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は完全に中庸な波です。,"Humans, humanity is a completely mediocre wave."
57,"Dude, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
58,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は完全に中庸な波です。,"Humans, humanity is a completely mediocre wave."
59,"Bruh, you ghosted again","Hombre, me has vuelto a dejar de lado de nuevo.",إنسان، أهملتني مرة أخرى.,人类，还是忽视了我。,人間は私を無視した。,People ignored me.
60,"Bro, you ghosted again","Hermano, me has vuelto a esconder.",أخي، أخفيتني مرة أخرى.,我的兄弟，我又被你隐瞒了。,私の弟、またあなたから隠されました。,"My brother, and also you, were hidden from me."
61,"Sis, pull up or stay sus","Sí, sube o quédate aquí.",نعم، اعلى أو بقى هنا.,是的，我还在这里。,はい、まだここにいます。,"Yes, I'm still here."
62,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
63,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
64,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
65,"Fam, this vibe is straight mid","Hombre, esta onda es completamente normal.",إنسان، هذه موجة تماماً طبيعية.,人类，这是一种完全自然的现象。,人間は、完全に自然な現象の一種である。,Humans are a kind of completely natural phenomenon.
66,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
67,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",أهلاً بكم، هيا هنا أو ماذا تفعل.,欢迎你们，来这里做什么呢？,ようこそ、ここに何をしますか。,"Welcome, what are you doing here."
68,"Sis, you ghosted again","Sis, me has vuelto a esconder.",سيس، ألقيت بثقلك من جديد.,我会再次信任你。,私はまた信頼する。,I trust it again.
69,"Dude, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
70,"Homie, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
71,"Sis, lowkey flexin’","Sí, estoy mostrando un poco de orgullo.",نعم، أظهر بعض الشغف.,是的，表现出了一些热情。,はい、少しの熱意を示しました。,"Yes, I showed a little enthusiasm."
72,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هزّي رقصة السكبيدي خارجًا من هنا، estilo sigma,我爱你，出去跳一支斯卡巴迪舞，离开这里。,私はあなたを愛している、外へスキャバディを踊るために１曲、ここを離れる。,"I love you, and I'm going to leave here to dance the Samba outside for one song."
73,"Fam, you ghosted again","Amigo, me has vuelto a dejar plantado.",أحبك، فكنت قد قمت بتركه مجددا.,我爱你，曾经我又把他丢了。,私はあなたを愛している、そして私は彼をもう一度失った。,"I love you, and I've lost him again."
74,"Mate, stop cappin’, lowkey annoyed","Amigo, deja de hablar por hablar, estoy un poco molesto.",أهلاً يابني، توقف عن الكلام، أنا قليلًا غاضب.,欢迎你，孩子，别说话了，我有点生气。,おめでとう、子供、もう話さないで、ちょっと怒っている。,"Congratulations, kid, don't talk about it anymore, I'm a bit angry."
75,"Dude, stop cappin’, lowkey annoyed","Hombre, detente con eso, estoy un poco molesto.",أهلاً، توقف عن ذلك، أنا قليلًا غاضب.,欢迎！请停止这样做，我有点生气。,ようこそ！そんなことをやめてください、少し怒っています。,"Welcome! Please stop that, I'm a bit angry."
76,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
77,"Yo, big yikes","Yo, ¡ay caramba!",أنا، أيّها الجحيم!,我，啊这灾难！,私は、ああこの災難！,I'm in a terrible predicament!
78,"Sis, you ghosted again","Sis, me has vuelto a esconder.",سيس، ألقيتك في الظل مرة أخرى.,他会把你再次投入到黑暗中。,彼はあなたをまた暗い世界に戻す。,He will send you back to the dark world again.
79,"Bruh, skibidi outta here, sigma style","Hombre, skibidi fuera de aquí, estilo sigma","أهلاً بكم, أخرجوا من هنا, سايغما","欢迎你们, 请离开这里, sigma",ようこそしたいと思います、ここを出てください、シグマ,"Welcome to join, please leave here, Sigma."
80,"Fam, touch some grass","Hombre, toca un poco de hierba","أهلاً بكم,  يلعب  بعض  الناس  في  الماريجوانا","欢迎你们, 有些人在玩大麻",歓迎します、ある人たちは大麻を楽しんでいます,Some people are enjoying marijuana.
81,"Bruh, big yikes","Hombre, gran asco",إنسان، عارض كبير,人类，主要反对者,人間、主な反対者,"Human, main opponent."
82,"Mate, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。熱意を示した。,I love you. I showed my sincerity.
83,"Homie, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
84,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",إنسان، جاء هنا أو ماذا تفعل.,人类，来了还是干什么。,人間、来たの？何をするの？,Who's that? What are you doing?
85,"Dude, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
86,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
87,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
88,"Homie, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
89,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
90,"Fam, whole squad waitin’","Hombre, toda la plantilla está esperando.",أهلاً بكم، كل الفريق منتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
91,"Mate, this vibe is straight mid","Amigo, esta onda es completamente normal.","أحبك, هذه موجة تمامًا طبيعية.",我爱你，这是完全正常的。,私があなたを愛していることは、完全に正常なことです。,"I love you, and that's perfectly normal."
92,"Mate, pull up or stay sus","Amigo, sube o quédate aquí.",أهلاً أصدقائي، ارجع أو ماذا تفعل هنا.,欢迎各位朋友，回去还是在这里做什么。,歓迎各位の方、帰るかここで何をするか。,"Welcome, everyone, are you going to leave or do something here?"
93,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
94,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
95,"Yo, pull up or stay sus","Yo, sube o quédate aquí.","أنا, صعد أو بقى هنا.","我, 或者是留在这里。",私、またはここに残る。,"I'll stay here, or I'll be left behind."
96,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は一つの完全な中庸。,"Humanity, mankind is one complete moderation."
97,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的波动。,私は男性です。これは完全に自然な波動です。,I am a man. This is a completely natural oscillation.
98,"Bro, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
99,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
100,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
101,"Dude, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
102,"Bro, whole squad waitin’","Hermano, toda la escuadra está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
103,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
104,"Mate, this vibe is straight mid","Amigo, esta vibra es completamente normal.","أحبك, هذه الحالة طبيعية تمامًا.",我爱你，这种情况完全正常。,私はあなたを愛している、このような事態は完全に正常だ。,"I love you, this kind of situation is completely normal."
105,"Yo, whole squad waitin’","Yo, toda la escuadra está esperando.",أنا، كل الفريق منتظر.,我是整个团队的期待。,私たちは全てのチームの期待です。,We are the expectations of all teams.
106,"Bro, touch some grass","Hombre, toca un poco de hierba","أهلاً بكم,  يلعب  بعض  الناس  في  الماريجوانا","欢迎你们, 有些人在玩大麻",歓迎します、ある人たちは大麻を楽しんでいます,Some people are enjoying marijuana.
107,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
108,"Mate, you ghosted again","Amigo, me has vuelto a hacer ghost.",أحبك، لكنك أصبحتي مجهولاً.,我爱你，但你变得陌生了。,私はあなたを愛しているが、あなたは変わってしまった。,"I love you, but you've changed."
109,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は一つの完全な中庸。,"Humanity, mankind is one complete moderation."
110,"Sis, IRL you fold faster than a Walmart chair","Sí, en la vida real, doblas más rápido que una silla de Walmart.",نعم، في الحياة الحقيقية، تدوّرت أكثر من كرسي في وول مارت.,是的，在现实生活中，沃尔玛有很多座位。,実際には、現実の生活の中でウォルマートは多くの席がある。,"In reality, Walmart has many locations in real life."
111,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
112,"Mate, skibidi outta here, sigma style","Amigo, skibidi fuera de aquí, estilo sigma",أحبك، هتاف سكبيدي خارج هنا، أسلوب سيغما,我爱你，斯基比迪的呼声在这里消失了，Sigma的风格,私はあなたを愛している、スキビディの声はここに消え、シグマのスタイル,"I love you, the Skibidi song is gone from here, Sigma's style."
113,"Yo, you ghosted again",Tú me has dejado de nuevo.,أنت قد تركتني مرة أخرى.,你又离开我了。,あなたはまた私を離れました。,You have left me again.
114,"Dude, touch some grass","Hombre, toca un poco de hierba.","أهلاً بكم,  يلعب الرجل قليلاً بالخيل.","欢迎你们,  那个男人在骑马。",ようこそ、  その男が馬に乗っている。,"Welcome, that man is riding a horse."
115,"Fam, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。熱意を示した。,I love you. I showed my sincerity.
116,"Fam, big yikes","Amigo, ¡qué horror grande!",أحبك، ما هذا العار؟,我爱你，怎么会有这样的耻辱？,私があなたを愛しているのに、こんな恥辱が起こるなんて。,"Despite my loving you, something like this humiliation happens."
117,"Fam, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
