sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"""RSI is high""",rsi,slang,crypto_slang_dataset,1,0
"""MACD crossing""",macd,slang,crypto_slang_dataset,1,0
"""Above moving average""",moving average,slang,crypto_slang_dataset,0,1
"""Golden cross formed""",golden cross,slang,crypto_slang_dataset,0,1
"""Death cross formed""",death cross,slang,crypto_slang_dataset,0,1
"""Consolidation phase""",consolidation,slang,crypto_slang_dataset,1,0
"""Sold at break even""",break even,slang,crypto_slang_dataset,0,1
"""Profit taking happening""",profit taking,slang,crypto_slang_dataset,0,1
"""High volatility""",volatility,slang,crypto_slang_dataset,1,0
"""Flash crash happened""",flash crash,slang,crypto_slang_dataset,0,1
"""Nice bounce""",bounce,slang,crypto_slang_dataset,1,0
"""Buying the dip""",dip,slang,crypto_slang_dataset,1,0
"""Huge rip""",rip,slang,crypto_slang_dataset,1,0
"""This feels like a top signal""",top signal,slang,crypto_slang_dataset,0,1
"""Bottom signal forming""",bottom signal,slang,crypto_slang_dataset,0,1
"""Need exit strategy""",exit strategy,slang,crypto_slang_dataset,0,1
"""Good entry point""",entry point,slang,crypto_slang_dataset,0,1
"""Adjust position size""",position size,slang,crypto_slang_dataset,0,1
"""Using leverage""",leverage,slang,crypto_slang_dataset,1,0
"""Market is overleveraged""",overleveraged,slang,crypto_slang_dataset,1,0
"""Liquidity grab happened""",liquidity grab,slang,crypto_slang_dataset,0,1
"""Stop hunt move""",stop hunt,slang,crypto_slang_dataset,0,1
"""Fake pump detected""",fake pump,slang,crypto_slang_dataset,0,1
"""Real pump underway""",real pump,slang,crypto_slang_dataset,0,1
"""Making higher highs""",higher highs,slang,crypto_slang_dataset,0,1
"""Lower lows forming""",lower lows,slang,crypto_slang_dataset,0,1
"""Trend reversal soon""",trend reversal,slang,crypto_slang_dataset,0,1
"""Continuation pattern""",continuation,slang,crypto_slang_dataset,1,0
"""Only diamond hands survive this""",diamond hands,slang,crypto_slang_dataset,0,1
"""Paper hands got shaken out""",paper hands,slang,crypto_slang_dataset,0,1
"""I got rekt on that trade""",rekt,slang,crypto_slang_dataset,1,0
"""If you sell now, you're ngmi""",ngmi,slang,crypto_slang_dataset,1,0
"""Stay strong, wagmi""",wagmi,slang,crypto_slang_dataset,1,0
"""gm everyone""",gm,slang,crypto_slang_dataset,1,0
"""gn fam""",gn,slang,crypto_slang_dataset,1,0
"""Buy the dip""",dip,slang,crypto_slang_dataset,1,0
"""Classic sell the news event""",sell the news,slang,crypto_slang_dataset,0,1
"""FOMO is kicking in""",fomo,slang,crypto_slang_dataset,1,0
"""Ignore the FUD""",fud,slang,crypto_slang_dataset,1,0
"""This coin will moon""",moon,slang,crypto_slang_dataset,1,0
'BTC to the moon'',to the moon,slang,crypto_slang_dataset,0,1
"""When lambo?""",lambo,slang,crypto_slang_dataset,1,0
"""When lambo guys?""",when lambo,slang,crypto_slang_dataset,0,1
"""Retail became exit liquidity""",exit liquidity,slang,crypto_slang_dataset,0,1
"""Short squeeze incoming""",short squeeze,slang,crypto_slang_dataset,0,1
"""Long squeeze wiped traders""",long squeeze,slang,crypto_slang_dataset,0,1
"""He trades with high leverage""",leverage,slang,crypto_slang_dataset,1,0
"""Market punished overleveraged traders""",overleveraged,slang,crypto_slang_dataset,1,0
"""That's a degen play""",degen play,slang,crypto_slang_dataset,0,1
"""Got some alpha for you""",alpha,slang,crypto_slang_dataset,1,0
"""Don't buy that shitcoin""",shitcoin,slang,crypto_slang_dataset,1,0
"""ETH is a blue chip""",blue chip,slang,crypto_slang_dataset,0,1
"""Just hodl""",hodl,slang,crypto_slang_dataset,1,0
"""Nice flip""",flip,slang,crypto_slang_dataset,1,0
"""Waiting for breakout""",breakout,slang,crypto_slang_dataset,1,0
"""Breakdown confirmed""",breakdown,slang,crypto_slang_dataset,1,0
"""Strong support here""",support,slang,crypto_slang_dataset,1,0
"""Facing resistance""",resistance,slang,crypto_slang_dataset,1,0
"""That was a fake pump""",fake pump,slang,crypto_slang_dataset,0,1
"""Classic rug pull""",rug pull,slang,crypto_slang_dataset,0,1
"""Added funds to LP""",lp,slang,crypto_slang_dataset,1,0
"""Yield farming is profitable""",yield farming,slang,crypto_slang_dataset,0,1
"""Staking ETH""",staking,slang,crypto_slang_dataset,1,0
"""Time to unstake""",unstake,slang,crypto_slang_dataset,1,0
"""Got an airdrop""",airdrop,slang,crypto_slang_dataset,1,0
"""Snapshot taken yesterday""",snapshot,slang,crypto_slang_dataset,1,0
"""Retail is buying""",retail,slang,crypto_slang_dataset,1,0
"""Smart money entered early""",smart money,slang,crypto_slang_dataset,0,1
"""It was an exit scam""",exit scam,slang,crypto_slang_dataset,0,1
"""Just a dead cat bounce""",dead cat bounce,slang,crypto_slang_dataset,0,1
"""Price went parabolic""",parabolic,slang,crypto_slang_dataset,1,0
"""Healthy correction""",correction,slang,crypto_slang_dataset,1,0
"""Whales in accumulation""",accumulation,slang,crypto_slang_dataset,1,0
"""Distribution phase""",distribution,slang,crypto_slang_dataset,1,0
"""Market is sideways""",sideways,slang,crypto_slang_dataset,1,0
"""Huge pump""",pump,slang,crypto_slang_dataset,1,0
"""Massive dump""",dump,slang,crypto_slang_dataset,1,0
"""Back run profit""",back run,slang,crypto_slang_dataset,0,1
"""High slippage""",slippage,slang,crypto_slang_dataset,1,0
"""Gas fees are high""",gas,slang,crypto_slang_dataset,1,0
"""Gas war happening""",gas war,slang,crypto_slang_dataset,0,1
"""Mainnet launched""",mainnet,slang,crypto_slang_dataset,1,0
"""Testnet rewards""",testnet,slang,crypto_slang_dataset,1,0
"""Running a node""",node,slang,crypto_slang_dataset,1,0
"""Validator rewards""",validator,slang,crypto_slang_dataset,1,0
"""Proof of stake consensus""",consensus,slang,crypto_slang_dataset,1,0
"""Reveal soon""",reveal,slang,crypto_slang_dataset,1,0
"""He's a bagholder now""",bagholder,slang,crypto_slang_dataset,1,0
"""That tweet was a top signal""",top signal,slang,crypto_slang_dataset,0,1
"""Capitulation is a bottom signal""",bottom signal,slang,crypto_slang_dataset,0,1
"""Nice bounce off support""",bounce,slang,crypto_slang_dataset,1,0
"""Huge wick on that candle""",wick,slang,crypto_slang_dataset,1,0
"""Long upper wick formed""",upper wick,slang,crypto_slang_dataset,0,1
"""Strong lower wick""",lower wick,slang,crypto_slang_dataset,0,1
"""Buying range low""",range low,slang,crypto_slang_dataset,0,1
"""Waiting for break retest""",break retest,slang,crypto_slang_dataset,0,1
"""Setup got invalidated""",invalidated,slang,crypto_slang_dataset,1,0
"""Strong confluence here""",confluence,slang,crypto_slang_dataset,1,0
"""Trendline holding""",trendline,slang,crypto_slang_dataset,1,0
"""Macro looks bullish""",macro,slang,crypto_slang_dataset,1,0
"""Micro trend is weak""",micro,slang,crypto_slang_dataset,1,0
"""That was a bull trap""",bull trap,slang,crypto_slang_dataset,0,1
"""Bear trap caught shorts""",bear trap,slang,crypto_slang_dataset,0,1
"""Market needs to cool off""",cool off,slang,crypto_slang_dataset,0,1
"""RSI shows overbought""",overbought,slang,crypto_slang_dataset,1,0
"""Oversold bounce coming""",oversold,slang,crypto_slang_dataset,1,0
"""Bullish divergence spotted""",divergence,slang,crypto_slang_dataset,1,0
"""Bullish divergence forming""",bullish divergence,slang,crypto_slang_dataset,0,1
"""Bearish divergence forming""",bearish divergence,slang,crypto_slang_dataset,0,1
"""Waiting for confirmation""",confirmation,slang,crypto_slang_dataset,1,0
"""Strong rejection there""",rejection,slang,crypto_slang_dataset,1,0
"""Acceptance above resistance""",acceptance,slang,crypto_slang_dataset,1,0
"""Filling imbalance""",imbalance,slang,crypto_slang_dataset,1,0
"""That was a liquidity grab""",liquidity grab,slang,crypto_slang_dataset,0,1
"""Market did a stop hunt""",stop hunt,slang,crypto_slang_dataset,0,1
"""Order block respected""",order block,slang,crypto_slang_dataset,0,1
"""Trading at premium""",premium,slang,crypto_slang_dataset,1,0
"""Good discount entry""",discount,slang,crypto_slang_dataset,1,0
"""Rotation out of alts""",rotation out,slang,crypto_slang_dataset,0,1
"""AI narrative is strong""",narrative,slang,crypto_slang_dataset,1,0
"""Gaming meta is gone""",meta,slang,crypto_slang_dataset,1,0
"""We might be at cycle top""",cycle top,slang,crypto_slang_dataset,0,1
"""Cycle bottom formed""",cycle bottom,slang,crypto_slang_dataset,0,1
"""Blow off top incoming""",blow off top,slang,crypto_slang_dataset,0,1
"""Market in euphoria""",euphoria,slang,crypto_slang_dataset,1,0
"""Fear is high""",fear,slang,crypto_slang_dataset,1,0
"""Greed index rising""",greed,slang,crypto_slang_dataset,1,0
"""Rotate profits into ETH""",rotate profits,slang,crypto_slang_dataset,0,1
"""He went full port""",full port,slang,crypto_slang_dataset,0,1
"""Keeping dry powder""",dry powder,slang,crypto_slang_dataset,0,1
"""Market seeks max pain""",max pain,slang,crypto_slang_dataset,0,1
"""Stop chasing pumps""",chasing,slang,crypto_slang_dataset,1,0
"""Late entry punished""",late entry,slang,crypto_slang_dataset,0,1
"""Early entry paid off""",early entry,slang,crypto_slang_dataset,0,1
"""Wide spread""",spread,slang,crypto_slang_dataset,1,0
"""Thin liquidity move""",thin liquidity,slang,crypto_slang_dataset,0,1
"""Thick liquidity zone""",thick liquidity,slang,crypto_slang_dataset,0,1
"""Lower maker fee""",maker fee,slang,crypto_slang_dataset,0,1
"""Paid taker fee""",taker fee,slang,crypto_slang_dataset,0,1
"""Price got slammed""",slammed,slang,crypto_slang_dataset,1,0
"""BTC ripped""",ripped,slang,crypto_slang_dataset,1,0
"""Very sendy market""",sendy,slang,crypto_slang_dataset,1,0
"""Choppy conditions""",choppy,slang,crypto_slang_dataset,1,0
"""Scam wick hit stops""",scam wick,slang,crypto_slang_dataset,0,1
"""Trap move""",trap move,slang,crypto_slang_dataset,0,1
"""Distribution top forming""",distribution top,slang,crypto_slang_dataset,0,1
"""Accumulation zone""",accumulation zone,slang,crypto_slang_dataset,0,1
"""Markup phase""",markup,slang,crypto_slang_dataset,1,0
"""Markdown phase""",markdown,slang,crypto_slang_dataset,1,0
"""Weak bounce""",weak bounce,slang,crypto_slang_dataset,0,1
"""Strong bounce""",strong bounce,slang,crypto_slang_dataset,0,1
"""Momentum building""",momentum,slang,crypto_slang_dataset,1,0
"""Momentum shift detected""",momentum shift,slang,crypto_slang_dataset,0,1
"""Buyer exhaustion""",exhaustion,slang,crypto_slang_dataset,1,0
"""Easy trade setup""",easy trade,slang,crypto_slang_dataset,0,1
"""Hard chop market""",hard chop,slang,crypto_slang_dataset,0,1
"""Slow bleed continues""",slow bleed,slang,crypto_slang_dataset,0,1
"""I’m moving my funds from DEX to CEX""",CEX,slang,crypto_slang_dataset,1,0
"""DEX trading gives more control over assets""",DEX,slang,crypto_slang_dataset,1,0
"""We use a multi sig wallet for safety""",Multi Sig,slang,crypto_slang_dataset,0,1
"""This is a tier 1 project""",Tier,slang,crypto_slang_dataset,1,0
"""MPC wallets improve security""",MPC,slang,crypto_slang_dataset,1,0
"""This chain is EVM compatible""",EVM,slang,crypto_slang_dataset,1,0
"""I’m stacking sats daily""",sats,slang,crypto_slang_dataset,1,0
"'Hello fam, how you doing?''",fam,slang,crypto_slang_dataset,1,0
'That's a massive W'',W,slang,crypto_slang_dataset,1,0
"""Too much yap on the timeline today""",yap,slang,crypto_slang_dataset,1,0
"""He’s a top yapper in the community""",yapper,slang,crypto_slang_dataset,1,0
"""ZK tech improves privacy and scalability""",zk,slang,crypto_slang_dataset,1,0
"""The TGE is scheduled for next week""",TGE,slang,crypto_slang_dataset,1,0
"""Always do FA before investing""",FA,slang,crypto_slang_dataset,1,0
"""OI is increasing on this pair""",OI,slang,crypto_slang_dataset,1,0
"""I trade perps instead of spot""",perps,slang,crypto_slang_dataset,1,0
"""I prefer spot trading to avoid liquidation""",spot,slang,crypto_slang_dataset,1,0
"""Cross margin reduces liquidation risk""",cross margin,slang,crypto_slang_dataset,0,1
"""This coin has high 24hr volume""",24hr volume,slang,crypto_slang_dataset,0,1
"""Check the top gainers today""",Gainers,slang,crypto_slang_dataset,1,0
"""This token is among top losers""",Losers,slang,crypto_slang_dataset,1,0
"""Diversify your portfolio""",Portfolio,slang,crypto_slang_dataset,1,0
"""Crypto markets are volatile""",Markets,slang,crypto_slang_dataset,1,0
"""Join the airdrop campaign""",campaign,slang,crypto_slang_dataset,1,0
"""Prediction markets are gaining traction""",Prediction Markets,slang,crypto_slang_dataset,0,1
"""Memes drive engagement in crypto""",Memes,slang,crypto_slang_dataset,1,0
"""RWA is a growing narrative""",RWA,slang,crypto_slang_dataset,1,0
"""Bitcoin ETF approval boosted the market""",ETF,slang,crypto_slang_dataset,1,0
"""He’s an ambassador for the project""",ambassador,slang,crypto_slang_dataset,1,0
"""KOLs are shilling the token""",KOLs,slang,crypto_slang_dataset,1,0
"""The project raised funds through an ICO""",ico,slang,crypto_slang_dataset,1,0
"""The IDO sold out in minutes""",ido,slang,crypto_slang_dataset,1,0
"""Check this thread for full analysis""",thread,slang,crypto_slang_dataset,1,0
"""CT is bullish today""",ct,slang,crypto_slang_dataset,1,0
"""He’s farming impressions again""",farming,slang,crypto_slang_dataset,1,0
"""This coin could do a 10x""",10x,slang,crypto_slang_dataset,1,0
"""People are hunting for the next 100x""",100x,slang,crypto_slang_dataset,1,0
"""Early buyers got a 1000x""",1000x,slang,crypto_slang_dataset,1,0
"""The vibes are bullish today""",vibes,slang,crypto_slang_dataset,1,0
"""Always do your own research, NFA""",NFA,slang,crypto_slang_dataset,1,0
"""You need KYC to use this exchange""",KYC,slang,crypto_slang_dataset,1,0
"""Remember, not your key not your coin""","Not your key, not your coin",slang,crypto_slang_dataset,0,1
"""We’re deep in the trenches""",trenches,slang,crypto_slang_dataset,1,0
"""Thank you ser for the info""",ser,slang,crypto_slang_dataset,1,0
"""He’s my idolo in crypto""",idolo,slang,crypto_slang_dataset,1,0
"""The dev got doxxed""",doxxed,slang,crypto_slang_dataset,1,0
"""GM fren, how are you?""",fren,slang,crypto_slang_dataset,1,0
"""FYI, the launch is tomorrow""",FYI,slang,crypto_slang_dataset,1,0
"""Many developers are building on Stark""",Stark,slang,crypto_slang_dataset,1,0
"""Let’s meet IRL someday""",IRL,slang,crypto_slang_dataset,1,0
"""My TL is full of bullish posts""",TL,slang,crypto_slang_dataset,1,0
"""Don’t FOMO into pumps""",fomo,slang,crypto_slang_dataset,1,0
"""The DAO voted on the proposal""",dao,slang,crypto_slang_dataset,1,0
"""Enable 2FA for your wallet""",2FA,slang,crypto_slang_dataset,1,0
"""That trade was a big L""",L,slang,crypto_slang_dataset,1,0
"""That was a giga move""",giga,slang,crypto_slang_dataset,1,0
"""Build and attract, not chase""",attract not chase,slang,crypto_slang_dataset,0,1
"""Too much visual yap on CT today""",visual yap,slang,crypto_slang_dataset,0,1
"""That take is based""",based,slang,crypto_slang_dataset,1,0
"""I received an airdrop today""",airdrop,slang,crypto_slang_dataset,1,0
"""Don’t worry, funds are SAFU""",SAFU,slang,crypto_slang_dataset,1,0
"""He’s an OG in crypto""",OG,slang,crypto_slang_dataset,1,0
"""Stay anon for privacy""",Anon,slang,crypto_slang_dataset,1,0
"""That’s pure copium""",Copium,slang,crypto_slang_dataset,1,0
"""We’re in a bear market""",bear market,slang,crypto_slang_dataset,0,1
"""The bull market is back""",bull market,slang,crypto_slang_dataset,0,1
"""This protocol handles transactions efficiently""",protocol,slang,crypto_slang_dataset,1,0
"""Bitcoin L2 improves transaction speed""",Bitcoin L2,slang,crypto_slang_dataset,0,1
"""Rollups reduce gas fees on Ethereum""",Rollups,slang,crypto_slang_dataset,1,0
"""DePIN connects real-world infrastructure to blockchain""",DePIN,slang,crypto_slang_dataset,1,0
"""GPUs are used for mining and AI tasks""",GPUs,slang,crypto_slang_dataset,1,0
"""Execution layer handles smart contracts""",execution,slang,crypto_slang_dataset,1,0
"""Token just launched, LFG!""",LFG,slang,crypto_slang_dataset,1,0
"""That chart is funny kek""",kek,slang,crypto_slang_dataset,1,0
"""My PnL is finally positive""",PnL,slang,crypto_slang_dataset,1,0
"""I’m locked in on this position""",locked in,slang,crypto_slang_dataset,0,1
"""Only chads bought the dip""",chads,slang,crypto_slang_dataset,1,0
"""All transactions are encrypted""",encrypted,slang,crypto_slang_dataset,1,0
"""The ecosystem is growing fast""",ecosystem,slang,crypto_slang_dataset,1,0
"""Join the AMA with the founders""",AMA,slang,crypto_slang_dataset,1,0
"""The project reached a major milestone""",milestone,slang,crypto_slang_dataset,1,0
"""The exchange got shut down""",shut down,slang,crypto_slang_dataset,0,1
"""We are RTG for launch""",RTG,slang,crypto_slang_dataset,1,0
"""This market is very liquid""",liquid,slang,crypto_slang_dataset,1,0
"""P2P trading removes middlemen""",P2P,slang,crypto_slang_dataset,1,0
"""This token uses BEP-20 standard""",BEP-20,slang,crypto_slang_dataset,1,0
"""Most tokens are ERC-20""",ERC-20,slang,crypto_slang_dataset,1,0
"""USDT is available as TRC-20""",TRC-20,slang,crypto_slang_dataset,1,0
"""Many projects launch on BSC""",BSC,slang,crypto_slang_dataset,1,0
"""SPL tokens run on Solana""",SPL,slang,crypto_slang_dataset,1,0
"""NFTs use ERC-721 standard""",ERC-721,slang,crypto_slang_dataset,1,0
"""ERC-1155 supports multiple token types""",ERC-1155,slang,crypto_slang_dataset,1,0
"""The VC backed the new AI trading protocol""",VC,slang,crypto_slang_dataset,1,0
"""Crypto adoption is accelerating in emerging markets""",Adoption,slang,crypto_slang_dataset,1,0
"""Users deposit ETH as collateral for borrowing stablecoins""",Collateral,slang,crypto_slang_dataset,1,0
"""Traders use BTC derivatives to hedge volatility""",Derivatives,slang,crypto_slang_dataset,1,0
"""This dataset gives traders a real edge""",edge,slang,crypto_slang_dataset,1,0
"""The AI generated a strong buy signal for ETH""",signal,slang,crypto_slang_dataset,1,0
"""Bots attempted to front run large swaps""",front run,slang,crypto_slang_dataset,0,1
"""Too much noise in the chart confused traders""",noise,slang,crypto_slang_dataset,1,0
"""Early investors in the protocol saw massive gains""",early,slang,crypto_slang_dataset,1,0
"""Smart money is accumulating BTC during dips""",smart money,slang,crypto_slang_dataset,0,1
"""The AI agent executed trades automatically""",AI agent,slang,crypto_slang_dataset,0,1
"""Personalized AI suggests tailored trading strategies""",Personalized AI,slang,crypto_slang_dataset,0,1
"""Their AI trading edge improved win rates significantly""",AI trading edge,slang,crypto_slang_dataset,0,1
"""The protocol improved its data layer for speed""",Data layer,slang,crypto_slang_dataset,0,1
"""The signal engine detects arbitrage opportunities""",Signal engine,slang,crypto_slang_dataset,0,1
"""The predictive layer models price direction""",Predictive layer,slang,crypto_slang_dataset,0,1
"""Automation reduced trading latency""",Automation,slang,crypto_slang_dataset,1,0
"""Smart execution reduced slippage costs""",Smart execution,slang,crypto_slang_dataset,0,1
"""Adaptive learning improves model accuracy over time""",Adaptive learning,slang,crypto_slang_dataset,0,1
"""Holders participate in community governance""",community governance,slang,crypto_slang_dataset,0,1
"""We are moving toward a BTC standard""",BTC standard,slang,crypto_slang_dataset,0,1
"""This app is Bitcoin-native""",Bitcoin-native,slang,crypto_slang_dataset,1,0
"""On-chain finance is growing rapidly""",On-chain finance,slang,crypto_slang_dataset,0,1
"""Crypto enables a digital credit economy""",Digital credit economy,slang,crypto_slang_dataset,0,1
"""BTC-backed lending is gaining traction""",BTC-backed lending,slang,crypto_slang_dataset,0,1
"""Bitcoin acts as a settlement layer""",Settlement layer,slang,crypto_slang_dataset,0,1
"""Ethereum is becoming a global liquidity layer""",Global liquidity layer,slang,crypto_slang_dataset,0,1
"""The campaign boosted community activation""",Community activation,slang,crypto_slang_dataset,0,1
"""Optimize your user funnel""",User funnel,slang,crypto_slang_dataset,0,1
"""Conversion rates improved after launch""",Conversion,slang,crypto_slang_dataset,1,0
"""He’s engagement farming on CT""",Engagement farming,slang,crypto_slang_dataset,0,1
"""Referral systems create growth loops""",Growth loops,slang,crypto_slang_dataset,0,1
"""Distribution is key in crypto""",Distribution,slang,crypto_slang_dataset,1,0
"""Build a content flywheel for growth""",Content flywheel,slang,crypto_slang_dataset,0,1
"""The project has strong social traction""",Social traction,slang,crypto_slang_dataset,0,1
"""The team is ready to ship""",Ship,slang,crypto_slang_dataset,1,0
"""Let them cook""",Cook,slang,crypto_slang_dataset,1,0
"""DeFi protocols offer bonds""",Bonds,slang,crypto_slang_dataset,1,0
"""Bitcoin is neutral money""",Neutral money,slang,crypto_slang_dataset,0,1
"""Crypto enables frictionless markets""",Frictionless markets,slang,crypto_slang_dataset,0,1
"""Borderless finance empowers users globally""",Borderless finance,slang,crypto_slang_dataset,0,1
"""We are entering internet-native finance""",Internet-native finance,slang,crypto_slang_dataset,0,1
"""On-chain capital markets are evolving""",On-chain capital markets,slang,crypto_slang_dataset,0,1
"""Tokens are traded on secondary markets""",Secondary Markets,slang,crypto_slang_dataset,0,1
"""Settlement happens instantly on-chain""",Settlement,slang,crypto_slang_dataset,1,0
"""This pair has strong market depth""",Market depth,slang,crypto_slang_dataset,0,1
"""Options trading is increasing in crypto""",Options,slang,crypto_slang_dataset,1,0
"""Blockchain is a trustless system""",Trustless system,slang,crypto_slang_dataset,0,1
"""Crypto is internet money""",Internet money,slang,crypto_slang_dataset,0,1
"""Bitcoin is a digital currency""",Digital currency,slang,crypto_slang_dataset,0,1
"""Global adoption is accelerating""",Global adoption,slang,crypto_slang_dataset,0,1
"""We are nearing mass adoption""",Mass adoption,slang,crypto_slang_dataset,0,1
"""Crypto improves financial inclusion""",Financial inclusion,slang,crypto_slang_dataset,0,1
"""Crypto offers an alternative financial system""",Alternative financial system,slang,crypto_slang_dataset,0,1
"""BTC helps with wealth preservation""",Wealth preservation,slang,crypto_slang_dataset,0,1
"""Permissionless finance is powerful""",Permissionless finance,slang,crypto_slang_dataset,0,1
"""Ethereum is an open financial network""",Open financial network,slang,crypto_slang_dataset,0,1
"""Crypto removes intermediaries""",Intermediaries,slang,crypto_slang_dataset,1,0
"""Use a secure crypto wallet""",Crypto wallet,slang,crypto_slang_dataset,0,1
"""The crypto president supports regulation""",Crypto president,slang,crypto_slang_dataset,0,1
"""The meme community is very active""",Meme community,slang,crypto_slang_dataset,0,1
"""This is a meme token""",Meme token,slang,crypto_slang_dataset,0,1
"""This is a moonshot play""",Moonshot,slang,crypto_slang_dataset,1,0
"""Check the unlocking schedule""",Unlocking schedule,slang,crypto_slang_dataset,0,1
"""Let’s raid the tweet""",Raid,slang,crypto_slang_dataset,1,0
"""Just fart freely and enjoy the ride""",Fart freely,slang,crypto_slang_dataset,0,1
"""People blame a cabal for price moves""",Cabal,slang,crypto_slang_dataset,1,0
"""This project has no cabal""",No cabal,slang,crypto_slang_dataset,0,1
"""The chart is ripping""",Ripping,slang,crypto_slang_dataset,1,0
"""This token is undervalued""",Undervalued,slang,crypto_slang_dataset,1,0
"""No matter what, the hat stays on""",The hat stays on,slang,crypto_slang_dataset,0,1
"""It’s literally just a dog with a hat""",Literally just a dog with a hat,slang,crypto_slang_dataset,0,1
"""Dog wif hat is trending""",Dog wif hat,slang,crypto_slang_dataset,0,1
'We are entering send season'',send season,slang,crypto_slang_dataset,0,1
"""Bro go touch grass""",touch grass,slang,crypto_slang_dataset,0,1
"""This coin is main character today""",main character,slang,crypto_slang_dataset,0,1
"""Stop acting like an npc""",npc,slang,crypto_slang_dataset,1,0
'Investors are running on hopium'',hopium,slang,crypto_slang_dataset,1,0
"""This is an early gem""",gem,slang,crypto_slang_dataset,1,0
"""That launch was cringe",cringe,slang,crypto_slang_dataset,1,0
"""Floki had a community takeover phase""",community takeover,slang,crypto_slang_dataset,0,1
"""Stay focused on the end goal""",end goal,slang,crypto_slang_dataset,0,1
"""Only the inner circle knew early""",inner circle,slang,crypto_slang_dataset,0,1
"""Many memes originate from 4chan""",4chan,slang,crypto_slang_dataset,1,0
"""This launch has no insider advantage""",no insider,slang,crypto_slang_dataset,0,1
"""It’s a fully transparent token""",transparent token,slang,crypto_slang_dataset,0,1
"""This project is for the culture""",for the culture,slang,crypto_slang_dataset,0,1
"""People think this is the next doge""",next doge,slang,crypto_slang_dataset,0,1
"""Bitcoin is a legacy coin""",legacy coin,slang,crypto_slang_dataset,0,1
"""Adopt a builder mindset""",builder mindset,slang,crypto_slang_dataset,0,1
"""They launched an on-chain charity fund""",on-chain charity,slang,crypto_slang_dataset,0,1
