sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset
my c0k is bigger than ur c0k,c0k,slang,lm_lexicon_slang,1,0,3,6
it is behoovey to buy canned food in preparation for a natural disaster,behoovey,slang,lm_lexicon_slang,1,0,6,14
"' i met a neil today, how lucky am i :)'",neil,slang,lm_lexicon_slang,1,0,10,14
girl: hey there bestfriend boy: hi boys mate: your a bestfriend whore :l,bestfriend whore,slang,lm_lexicon_slang,0,1,53,69
fmj bullets are standard issue for soldiers,fmj,slang,lm_lexicon_slang,1,0,0,3
stop being such a dry vagina,dry vagina,slang,lm_lexicon_slang,0,1,18,28
"i just pwned your ass, juden",juden,slang,lm_lexicon_slang,1,0,23,28
"garrett: dude, [wtfuck] was that all about last night? you were trying to muddle with me all night",muddle,slang,lm_lexicon_slang,1,0,74,80
de void is bad juju,juju,slang,lm_lexicon_slang,1,0,15,19
"jon drank so many cans of beer last night, he got a cantusion on his right index finger",cantusion,slang,lm_lexicon_slang,1,0,52,61
i just got in the v ima be there soon,v,slang,lm_lexicon_slang,1,0,18,19
a chalupka on the praire,chalupka,slang,lm_lexicon_slang,1,0,2,10
that dank ass weed got my dome rocked last night,dome rocked,slang,lm_lexicon_slang,0,1,26,37
"hernandez: what's with that guy covered in lint over there? paco: oh don't worry, he's just a golett mcgee",golett mcgee,slang,lm_lexicon_slang,0,1,94,106
my boss lady expects total loyalty and respect,boss lady,slang,lm_lexicon_slang,0,1,3,12
"for fuck sake, leave me alone u psycho hose beast",psycho hose beast,slang,lm_lexicon_slang,0,1,32,49
"""bia bia shut the hell up ""why u acting like a like bia bia",bia bia,slang,lm_lexicon_slang,0,1,1,8
that was the craziest f'n thing i've ever seen,f'n,slang,lm_lexicon_slang,0,1,22,25
na eh divnt di that like,divnt,slang,lm_lexicon_slang,1,0,6,11
you know that fat bitches pussy is a dusty dusty,dusty dusty,slang,lm_lexicon_slang,0,1,37,48
'maine ek randee ko chod diya' - i fucked a prostitute,chod,slang,lm_lexicon_slang,1,0,20,24
raul vasquez: dude i smoked with a bloedel the other day and he blew my mind with his high-deas,bloedel,slang,lm_lexicon_slang,1,0,35,42
i have some serious beard goggles for him,beard goggles,slang,lm_lexicon_slang,0,1,20,33
elmo rocks my socks with his elmoness,elmo,slang,lm_lexicon_slang,1,0,0,4
your boys can't play with my boys,my boys,slang,lm_lexicon_slang,0,1,26,33
i iz gunna do sum [phat] imagine of me an' my hoe in da bedroom aaaiight,imagine,slang,lm_lexicon_slang,1,0,25,32
wow did you hear buddhacharlie only posted 7 videos today? he usually does 10,buddhacharlie,slang,lm_lexicon_slang,1,0,17,30
the snurricane shut down the entire college campus,snurricane,slang,lm_lexicon_slang,1,0,4,14
"sudeep, you're coming in spicy this morning",coming in spicy,slang,lm_lexicon_slang,0,1,15,30
you:hi dayday girl: hi,dayday,slang,lm_lexicon_slang,1,0,7,13
"i cant get a girlfriend, so im still sexually faptive",sexually faptive,slang,lm_lexicon_slang,0,1,37,53
i pull down my big flop,big flop,slang,lm_lexicon_slang,0,1,15,23
carebear: wheres' hatter? i need his help? mike: oh well you can tell me ill help cb: no the hatter is the one i trust,hatter,slang,lm_lexicon_slang,1,0,18,24
kevin: who is going on the camping trip? david: eight men only kevin: that is a real fucking cockapalooza,cockapalooza,slang,lm_lexicon_slang,1,0,93,105
we threw the boppies on the grill and it began bubbling,boppies,slang,lm_lexicon_slang,1,0,13,20
he definitely just pulled a dale,dale,slang,lm_lexicon_slang,1,0,28,32
"wow, taylor swift? she's so giraffe",giraffe,slang,lm_lexicon_slang,1,0,28,35
i was just about to sink the 8 ball when jeff raced up behind me and gave me an anal handshake,anal handshake,slang,lm_lexicon_slang,0,1,80,94
"steve, you look more [extrenuary] than usual, what’s your problem? i need chinese fiesta",chinese fiesta,slang,lm_lexicon_slang,0,1,74,88
"""flava flave is a one coon ass nigga",coon ass nigga,slang,lm_lexicon_slang,0,1,22,36
what a fashion violation -- that fat kid is wearing girl jeans with flowers on the pockets,girl jeans,slang,lm_lexicon_slang,0,1,52,62
sharp is a karma whore,karma whore,slang,lm_lexicon_slang,0,1,11,22
get in da trunk,da trunk,slang,lm_lexicon_slang,0,1,7,15
"dude, i ate sushi for lunch and mexican for dinner, i gotta stop home and bust a crumplestiltskin",crumplestiltskin,slang,lm_lexicon_slang,1,0,81,97
"dude, dawgg just completely owned that kid",dawgg,slang,lm_lexicon_slang,1,0,6,11
"wow, that's crazy go nuts",crazy go nuts,slang,lm_lexicon_slang,0,1,12,25
i'll give you a free enchant if you supply the mats i need,mats,slang,lm_lexicon_slang,1,0,47,51
"ah, poor pineapplebum",pineapplebum,slang,lm_lexicon_slang,1,0,9,21
"that hoe was real dirty, so i showed that bitch an allabama nut cracker n she shat herself",allabama nut cracker,slang,lm_lexicon_slang,0,1,51,71
"""dave: hey bro check out that architecture garry: ""looks at sexy women"" now that's some fine architecture""",architecture,slang,lm_lexicon_slang,1,0,30,42
aniela went to class today,aniela,slang,lm_lexicon_slang,1,0,0,6
the text of the letter reads: from hell,from hell,slang,lm_lexicon_slang,0,1,30,39
"things were going great last night, so i gave her a hershey's kiss",hershey's kiss,slang,lm_lexicon_slang,0,1,52,66
she's such a drusilla,drusilla,slang,lm_lexicon_slang,1,0,13,21
act right or i'll bitch slap you,act right,slang,lm_lexicon_slang,0,1,0,9
"the way that bald guy in the wheelchair was checking you out, he's just begging for a mr clean",mr clean,slang,lm_lexicon_slang,0,1,86,94
the peyote medicine is entheogenic when used traditionally,entheogenic,slang,lm_lexicon_slang,1,0,23,34
"""sally drinks jism",jism,slang,lm_lexicon_slang,1,0,14,18
(bad test grade) ah bulux,bulux,slang,lm_lexicon_slang,1,0,20,25
"i love a person i have never met and have only heard stories of and there is no proof of outside of a single book, this is my faith",faith,slang,lm_lexicon_slang,1,0,126,131
"""i am changalangin man ""whats happenin my crackaa?"" ""yes i am yelling at you with cap changalangin' loud",changalangin',slang,lm_lexicon_slang,1,0,86,99
1 out of every million men is a real man,men,slang,lm_lexicon_slang,1,0,23,26
bernum,bernum,slang,lm_lexicon_slang,1,0,0,6
"man i think we need to have an intervention for alex, i'm pretty sure he's a douchist now",douchist,slang,lm_lexicon_slang,1,0,77,85
tara is good looking but she is a bizho,bizho,slang,lm_lexicon_slang,1,0,34,39
"me: matt, tonight make sure you bring along some beer flads",flads,slang,lm_lexicon_slang,1,0,54,59
the show is called animals close up with a wide angle lens,animals close up with a wide angle lens,slang,lm_lexicon_slang,0,1,19,58
i put hello kitty band-aids on my girlfriends rug burned knees after i applied the [knee-osporin],[knee-osporin],slang,lm_lexicon_slang,0,1,83,97
i have caught me a tasty fi.,fi.,slang,lm_lexicon_slang,1,0,25,28
"i never studied physics, so when i got into an argument about quantum theory with stephen hawking i had to audiorob the subject to prove he was wrong",audiorob,slang,lm_lexicon_slang,1,0,107,115
oh hey guys have you seen guliana dilorenzo she is so deasembled,deasembled,slang,lm_lexicon_slang,1,0,54,64
"new nintendo ds wi-fi games- march 20th - metroid prime: hunters and tetris ds, both with voice chat and virtual keyboard chat",nintendo ds,slang,lm_lexicon_slang,0,1,4,15
"""did you see that skinny dude with the bad tats and the trucker hat? he's so blue-collar chic",blue-collar chic,slang,lm_lexicon_slang,0,1,77,93
guy#1 hey what school do you go to guy#2 i go to bay path guy#1 wow that sucks major ass hole,bay path,slang,lm_lexicon_slang,0,1,49,57
that dirty chupe raped my sister's pet chupacabra,chupe,slang,lm_lexicon_slang,1,0,11,16
k-rab started snap music you idiot,snap music,slang,lm_lexicon_slang,0,1,14,24
"don't dime out dat boy, he didn't do anything wrong",dime out,slang,lm_lexicon_slang,0,1,6,14
'bet you that breezerslut 's comming with us for a few fashionable drinks,breezerslut,slang,lm_lexicon_slang,1,0,14,25
"damn dom your ass is bigger then stacey's, you got a brodonkadonk",brodonkadonk,slang,lm_lexicon_slang,1,0,53,65
cat boy is lame or devin is lame,cat boy,slang,lm_lexicon_slang,0,1,0,7
kiera is so awesome you can't beat it,kiera,slang,lm_lexicon_slang,1,0,0,5
gaylesh wants to go out wit bijal lad,bijal lad,slang,lm_lexicon_slang,0,1,28,37
demitri loves dancing with men,demitri,slang,lm_lexicon_slang,1,0,0,7
stop being a jungle donkey,jungle donkey,slang,lm_lexicon_slang,0,1,13,26
"while john slept timothy, and anthony gave him a rearend full of egg salad",egg salad,slang,lm_lexicon_slang,0,1,65,74
phil likes her,phil,slang,lm_lexicon_slang,1,0,0,4
"ooh, i have a brace of winnits pulling on my crease fleece",crease fleece,slang,lm_lexicon_slang,0,1,45,58
"dude, have you been by bonnie's? she received a massive grassing",grassing,slang,lm_lexicon_slang,1,0,56,64
will you put that chimichanga in the mic for me so i can enjoy its savory splendidness in a little less than a minute? thanks,chimichanga,slang,lm_lexicon_slang,1,0,18,29
this party is the effin bumpinest but i gotta effin split,bumpinest,slang,lm_lexicon_slang,1,0,24,33
the orgy was getting boring until the germans started up a cleveland steam train,cleveland steam train,slang,lm_lexicon_slang,0,1,59,80
the united states is furthuring nothing more than greedom across the globe,greedom,slang,lm_lexicon_slang,1,0,50,57
"""get in the car, beeyot ""get out of the way beeyot, get out of the way, get out of the way",beeyot,slang,lm_lexicon_slang,1,0,17,23
i need to find my happy ending at an aamp,aamp,slang,lm_lexicon_slang,1,0,37,41
"""annie, are you wearing your bap holder in bed tonight? ""no, eric",bap holder,slang,lm_lexicon_slang,0,1,29,39
person 1: you seen hedley with the newest girl? person 2: no but i heard she looks amazin,hedley,slang,lm_lexicon_slang,1,0,19,25
"i have to go, you bothered me",bothered,slang,lm_lexicon_slang,1,0,18,26
that strategy was gosu,gosu,slang,lm_lexicon_slang,1,0,18,22
he is the assholiest,assholiest,slang,lm_lexicon_slang,1,0,10,20
he looked lihe an irish hitler when i gave him a chester cheeto,chester cheeto,slang,lm_lexicon_slang,0,1,49,63
a perfect example of a fart bag is sting-former wcw superstar who tries to relive his glory days on tna and is always going down for the 1-2-3,fart bag,slang,lm_lexicon_slang,0,1,23,31
"dude, check out this rash, its from that damn chafarobe",chafarobe,slang,lm_lexicon_slang,1,0,46,55
harry wang plays tennis,harry wang,slang,lm_lexicon_slang,0,1,0,10
don't shoot that bumchin,bumchin,slang,lm_lexicon_slang,1,0,17,24
hive records is the [shiznit],hive records,slang,lm_lexicon_slang,0,1,0,12
i would rather have the aryan brotherhood after me than be in a roomfull of clowns,clowns,slang,lm_lexicon_slang,1,0,76,82
i said julie was fat and she called me a bliffcap,bliffcap,slang,lm_lexicon_slang,1,0,41,49
i want to nail ayumi tahara,ayumi tahara,slang,lm_lexicon_slang,0,1,15,27
"check it out man, i got some brass knuckles",brass knuckles,slang,lm_lexicon_slang,0,1,29,43
look at that musson kid over there,musson,slang,lm_lexicon_slang,1,0,13,19
bumbeanie baby,bumbeanie baby,slang,lm_lexicon_slang,0,1,0,14
if i get my hands on them fuggeddabodit,fuggeddabodit,slang,lm_lexicon_slang,1,0,26,39
wow you were so cathy,cathy,slang,lm_lexicon_slang,1,0,16,21
can you stop whining for five seconds? you're giving me a biha,biha,slang,lm_lexicon_slang,1,0,58,62
"hi, yes, i'd like to make a request going out to bdfn from sexy sexy sexy",bdfn,slang,lm_lexicon_slang,1,0,49,53
come to my masturbatory aerobics class tomorrow,masturbatory,slang,lm_lexicon_slang,1,0,11,23
that is a millz unlucky,millz,slang,lm_lexicon_slang,1,0,10,15
james went to the video store to get something action packed for this evening,action packed,slang,lm_lexicon_slang,0,1,47,60
"asian: herro, this [chinise] food cost many dorrah",dorrah,slang,lm_lexicon_slang,1,0,44,50
jade: hey there brodski,brodski,slang,lm_lexicon_slang,1,0,16,23
"it is very beautiful outside today, the sun is shinning, and the air feels so gentle on my skin, and shit",and shit,slang,lm_lexicon_slang,0,1,97,105
"""1) i hear wearing gippo tears in a vial around your neck is good luck",gippo,slang,lm_lexicon_slang,1,0,19,24
look at that porschegeez in the 911 turbo,porschegeez,slang,lm_lexicon_slang,1,0,13,24
oh god that hampster cannon is horrible,hampster cannon,slang,lm_lexicon_slang,0,1,12,27
he was the best stick jockey of the whole war,stick jockey,slang,lm_lexicon_slang,0,1,16,28
"i just got yelled out by someone who speaks a different language , what an awktrocity",awktrocity,slang,lm_lexicon_slang,1,0,75,85
i was late for my class today but when i walked in everyone stared at me like an arab on a plane,arab on a plane,slang,lm_lexicon_slang,0,1,81,96
i was suffering from gumbosis when i humped your leg,gumbosis,slang,lm_lexicon_slang,1,0,21,29
they are all being controlled by a giant space marmot,marmot,slang,lm_lexicon_slang,1,0,47,53
casey,casey,slang,lm_lexicon_slang,1,0,0,5
"person 1: did you hear, she is an adva",adva,slang,lm_lexicon_slang,1,0,34,38
"""dude, i went to gay hank's apartment last weekend, and we had a brooklyn blowout",brooklyn blowout,slang,lm_lexicon_slang,0,1,65,81
guy one: how far did you get with her? guy two: first and a half base,first and a half base,slang,lm_lexicon_slang,0,1,48,69
dee's caked-up like a rainbow today,caked-up,slang,lm_lexicon_slang,0,1,6,14
do you know who sam pepper is? obviously,sam pepper,slang,lm_lexicon_slang,0,1,16,26
"look there's a cliff, let go do some cliffdering",cliffdering,slang,lm_lexicon_slang,1,0,37,48
your remail refers,remail,slang,lm_lexicon_slang,1,0,5,11
my friend is a total balloonatic,balloonatic,slang,lm_lexicon_slang,1,0,21,32
you would fall in love with annasha at first sight,annasha,slang,lm_lexicon_slang,1,0,28,35
"girl-do you buy your lunch? boy-no, i just go around and mooch",mooch,slang,lm_lexicon_slang,1,0,57,62
boy 1: yo girlfriend is so lazy boy 2: yo sister is so crazy boy 1: yo mama is so fat boy 2: woahhh the shots are being thrown,shots are being thrown,slang,lm_lexicon_slang,0,1,104,126
i'm gonna get a b'eggl and some coffee for breakfast,b'eggl,slang,lm_lexicon_slang,0,1,16,22
i think it's best that you push on,push on,slang,lm_lexicon_slang,0,1,27,34
did you listen to rush's 2112 yet?,2112,slang,lm_lexicon_slang,1,0,25,29
"'hey, i've got bible study tonight with jordan",bible study,slang,lm_lexicon_slang,0,1,15,26
me- i'm a booshlr you- i'm already in love with you,booshlr,slang,lm_lexicon_slang,1,0,10,17
did you see that ally girl?,ally,slang,lm_lexicon_slang,1,0,17,21
"see claire over there, shes a right dick bucket we have all had her",dick bucket,slang,lm_lexicon_slang,0,1,36,47
googolplex is the largest named real number ever created,googolplex,slang,lm_lexicon_slang,1,0,0,10
"""guy 1 "" dude, i heard you did an australian boomerang last night?"" guy 2:"" totally, except greg had diarrhea"" guy1 : "" ewwww""""",australian boomerang,slang,lm_lexicon_slang,0,1,34,54
thundy? you really thing boomingbacon is thunder pig? boomingbacon=thunderpig -turambar,boomingbacon,slang,lm_lexicon_slang,1,0,25,37
that 12 year old in the skirt and fuck me boots is a fucking prostatot,prostatot,slang,lm_lexicon_slang,1,0,61,70
please accept my appy polly loggy,appy polly loggy,slang,lm_lexicon_slang,0,1,17,33
"here gerry, your mum's a fucking chocolate biccie",chocolate biccie,slang,lm_lexicon_slang,0,1,33,49
you have a big ass chin,ass chin,slang,lm_lexicon_slang,0,1,15,23
irel likes to have a lot of guys,irel,slang,lm_lexicon_slang,1,0,0,4
"omg, john is such a chootie",chootie,slang,lm_lexicon_slang,1,0,20,27
kya chutiyagiri hai ye? ye kya chutiyagiri macha rakha hai?,chutiyagiri,slang,lm_lexicon_slang,1,0,4,15
"dude, i literally just heard that choff monkey say that libraries are the second most [legit] place after the gym",choff monkey,slang,lm_lexicon_slang,0,1,34,46
"person one: dude, why is that little girl still looking? person two: i donno dude, but that's colourbond creepy",colourbond creepy,slang,lm_lexicon_slang,0,1,94,111
ten page report? aku,aku,slang,lm_lexicon_slang,1,0,17,20
the reliever threw a cement mixer and the hitter crushed it for a grand slam,cement mixer,slang,lm_lexicon_slang,0,1,21,33
"dude, bitch drift that shit",bitch drift,slang,lm_lexicon_slang,0,1,6,17
wow if that isn't a gart i don't know what is,gart,slang,lm_lexicon_slang,1,0,20,24
"that conservative likes things how they were in the 1800's, like no gay marriage",conservative,slang,lm_lexicon_slang,1,0,5,17
dave: you're the only cathode here,cathode,slang,lm_lexicon_slang,1,0,22,29
"""that was a real blufe",blufe,slang,lm_lexicon_slang,1,0,17,22
david hasselhoff has no street cred,cred,slang,lm_lexicon_slang,1,0,31,35
"a carpet farting at 3:00 , take cover",carpet farting,slang,lm_lexicon_slang,0,1,2,16
"man, i'm so blash i can't be fucked getting up to smoke another cone",blash,slang,lm_lexicon_slang,1,0,12,17
i am going to riverdale to get wasted,riverdale,slang,lm_lexicon_slang,1,0,14,23
that weed was boom ting weed,boom ting,slang,lm_lexicon_slang,0,1,14,23
his mama has spoiled him so he might be difficult to marry as he is such an amerpal,amerpal,slang,lm_lexicon_slang,1,0,76,83
"nashmark doesn't know what he's talking about calling eddie a vanilla midget, unlike kevin nash, eddie guerrero could have a decent match with anyone",eddie guerrero,slang,lm_lexicon_slang,0,1,97,111
"check out that old guy in the leisure suit hitting on those college girls, hes so chorny",chorny,slang,lm_lexicon_slang,1,0,82,88
those fans spitting on the other teams' mascot and cheering for tim [tebow] were chrinos,chrinos,slang,lm_lexicon_slang,1,0,81,88
ryan shifflet has the curl after amir mollywhopped him,curl,slang,lm_lexicon_slang,1,0,22,26
dude i got so wasted apres ski in breck this weekend,breck,slang,lm_lexicon_slang,1,0,34,39
"man that vindaloo just reached the other end, burned so much i was jumping round the toilet rim, now i got an arse like a japanese flag",japanese flag,slang,lm_lexicon_slang,0,1,122,135
"bitch, get juicy",juicy,slang,lm_lexicon_slang,1,0,11,16
the police smashed martin luther king jr’s skull with my mom’s flashlight,flashlight,slang,lm_lexicon_slang,1,0,63,73
what's your name? my name is gelila,gelila,slang,lm_lexicon_slang,1,0,29,35
"i don't want just any average girl, i'm waiting for a whitney",whitney,slang,lm_lexicon_slang,1,0,54,61
i took a massive crap and simply had to leave the calling card,calling card,slang,lm_lexicon_slang,0,1,50,62
"""person 1: ""hey, imma need to pelican tonight with this slam piece",pelican,slang,lm_lexicon_slang,1,0,30,37
1m 133732 7han 73h marin32,133732,slang,lm_lexicon_slang,1,0,3,9
when i had intercourse with her i lasted only a couple minutes because of her squeeze box,squeeze box,slang,lm_lexicon_slang,0,1,78,89
"dude, i gave my girl a surprise alabama hotpocket last night",alabama hotpocket,slang,lm_lexicon_slang,0,1,32,49
"all the funny, wacky, abstruse, and scientific symbols are in the charmap",charmap,slang,lm_lexicon_slang,1,0,66,73
that dog you have there sure is a boojah,boojah,slang,lm_lexicon_slang,1,0,34,40
luke: bloody nora i've got a bit of the old botulism - i'll never eat one of ben's bacon sandwiches again; oh bugger my leg's fell off - felch,botulism,slang,lm_lexicon_slang,1,0,44,52
that substitute seemed pretty coll but he pulled a mr. skebo on me,mr. skebo,slang,lm_lexicon_slang,0,1,51,60
that dude is a blinky blonky,blinky blonky,slang,lm_lexicon_slang,0,1,15,28
"why'd you buy extra old stock, brah? man, that shite is bum beer that makes my tongue tingle",bum beer,slang,lm_lexicon_slang,0,1,56,64
2mfg,2mfg,slang,lm_lexicon_slang,1,0,0,4
the guy on the red team was totally lit up while trying to take the snake,lit up,slang,lm_lexicon_slang,0,1,36,42
"i lost my fucking curtains again, well good thing they are only 11$ at nordstrom",curtains,slang,lm_lexicon_slang,1,0,18,26
- jeeeesus she is a reeal crushanator,crushanator,slang,lm_lexicon_slang,1,0,26,37
"""are you getting booter crunk tonight ""oh yea man i got weed and 40's"" or as a shout out-- boota crunk",booter crunk,slang,lm_lexicon_slang,0,1,17,29
she felt her beaver was unsightly so she made an appointment with a beaver weaver,beaver weaver,slang,lm_lexicon_slang,0,1,68,81
i swoops shotgun,swoops,slang,lm_lexicon_slang,1,0,2,8
im having a bedoor at the bathroom this morning,bedoor,slang,lm_lexicon_slang,1,0,12,18
i'm learnings how dumb yo' ass really id,learnings,slang,lm_lexicon_slang,1,0,4,13
tc x-x: we're going to do a spirit mission against band company tc 3-1: dfwtb,dfwtb,slang,lm_lexicon_slang,1,0,72,77
"the game of champagne pong last forever, but the defender looked great in the new gucci; i'm not sure it's even available at the madison boutique, yet",champagne pong,slang,lm_lexicon_slang,0,1,12,26
"joe: well, who should we invite? sex panther: at this point i honestly dont care, just invite anyoney",anyoney,slang,lm_lexicon_slang,1,0,94,101
"man, that guy was crangry last night",crangry,slang,lm_lexicon_slang,1,0,18,25
that carlonic lunge nearly ripped his cheap second hand pants,carlonic lunge,slang,lm_lexicon_slang,0,1,5,19
fundita: fundo saw matt at the strip club,matt,slang,lm_lexicon_slang,1,0,19,23
guy: ima asscum you tonight,asscum,slang,lm_lexicon_slang,1,0,9,15
that douche nozzle rob showed up again with a bunch of douche bags,douche nozzle,slang,lm_lexicon_slang,0,1,5,18
little pisses me off more than having to put up with that little doom cookie friend of yours,doom cookie,slang,lm_lexicon_slang,0,1,65,76
mike: hey dude what u doing tonight me: nuttin mike: sick come by for a party me: without a doubt broheemavich,broheemavich,slang,lm_lexicon_slang,1,0,98,110
"""dem bird road boys on the television again miami""miami south miami miami gangs goonz 305 dade county bird rd real bird rd, bird road, 40st",bird road,slang,lm_lexicon_slang,0,1,5,14
"yeah man, im going to the movies with her all this weekend, hells yeah",going to the movies,slang,lm_lexicon_slang,0,1,13,32
carl: ill be dipped stan: what? carl: i just found my ole tackle box stan: well ill be dipped,ill be dipped,slang,lm_lexicon_slang,0,1,6,19
"hey, lets go borafotionationing",borafotionationing,slang,lm_lexicon_slang,1,0,13,31
"mate, i managed 90 seconds on the bitch slap bronco with a 6 foot tall bulgarian shot-putter last night",bitch slap bronco,slang,lm_lexicon_slang,0,1,34,51
i love living in houston,houston,slang,lm_lexicon_slang,1,0,17,24
ay-yo dis fione guy wants your digets,ay-yo,slang,lm_lexicon_slang,0,1,0,5
when billy saw sally in her sexy outfit he became completly bonerized,bonerized,slang,lm_lexicon_slang,1,0,60,69
"after watching game of thrones all weekend, jon stewart's staff merely stare at him with their nerdglaze",nerdglaze,slang,lm_lexicon_slang,1,0,95,104
i put it in her butt and all i got was a dilly dong,dilly dong,slang,lm_lexicon_slang,0,1,41,51
that movie was the shiz,shiz,slang,lm_lexicon_slang,1,0,19,23
you dirty meat cave,meat cave,slang,lm_lexicon_slang,0,1,10,19
join cheeto-club to be cool,cheeto-club,slang,lm_lexicon_slang,0,1,5,16
dnvl came about because the other terms just didn't cover the extreme end of laughter,dnvl,slang,lm_lexicon_slang,1,0,0,4
i wish all girls were like minju,minju,slang,lm_lexicon_slang,1,0,27,32
jill stop being such a gutter head,gutter head,slang,lm_lexicon_slang,0,1,23,34
the guy was brutal but he was looking hella fine therefore he was brutiful,brutiful,slang,lm_lexicon_slang,1,0,66,74
phil was going to get some oral sex until suzy saw his hot dog bun,hot dog bun,slang,lm_lexicon_slang,0,1,55,66
your a wildcat,wildcat,slang,lm_lexicon_slang,1,0,7,14
1) she was a classic casio droid example of ruthless and benign indifference,casio droid,slang,lm_lexicon_slang,0,1,21,32
john: hey you wanna go to a concert tonight? dick: nah i can't i have to go to the hell hole tonight,hell hole,slang,lm_lexicon_slang,0,1,83,92
i don't like brewtech,brewtech,slang,lm_lexicon_slang,1,0,13,21
i picked up the kerplunk album on vinyl yesterday at the music store,kerplunk,slang,lm_lexicon_slang,1,0,16,24
1) oh smeg,smeg,slang,lm_lexicon_slang,1,0,6,10
my name bonkia aka babygurl aka babygirl aka babygurll,babygurl,slang,lm_lexicon_slang,1,0,19,27
"bro, let's go to fairpot and score some weed",fairpot,slang,lm_lexicon_slang,1,0,17,24
woman 1: is that a civil engineer over there? woman 2: he is devastatingly handsome isn't he?,civil engineer,slang,lm_lexicon_slang,0,1,19,33
michigan state coach mark dantonio has a dark mantonio,dark mantonio,slang,lm_lexicon_slang,0,1,41,54
"hey baby, would you like to see my dick cyst",dick cyst,slang,lm_lexicon_slang,0,1,35,44
lashonda u need to stop trippin' u ain't da shit,lashonda,slang,lm_lexicon_slang,1,0,0,8
i think my e's have started to kick in as i need a disco shit,disco shit,slang,lm_lexicon_slang,0,1,51,61
"""welcome home, bae ""my bae jamal done spent all his mommas money on these nails gurl""""",bae,slang,lm_lexicon_slang,1,0,15,18
::at the club:: yeah man i'm gonna run a cat scan,cat scan,slang,lm_lexicon_slang,0,1,41,49
fuck man that game was awes,awes,slang,lm_lexicon_slang,1,0,23,27
that fake ass tits are hot,fake ass,slang,lm_lexicon_slang,0,1,5,13
jake: what's wrong jack ? jack: oh nothing i'm just btf with this place,btf,slang,lm_lexicon_slang,1,0,52,55
she's not girly enough for my slumber party; she's way too bonito,bonito,slang,lm_lexicon_slang,1,0,59,65
"oh man, i had a great candy trip last night",candy trip,slang,lm_lexicon_slang,0,1,22,32
ate too many jalapenos at taco bell and now my bunger is chapped,bunger,slang,lm_lexicon_slang,1,0,47,53
micah-lets play doofball,doofball,slang,lm_lexicon_slang,1,0,16,24
man i only had one e left i had take the bootie rocket to get off,bootie rocket,slang,lm_lexicon_slang,0,1,41,54
camoosh always dreamed of drinking the milk,camoosh,slang,lm_lexicon_slang,1,0,0,7
today is my marijuananniversary so i'm about to go [h,marijuananniversary,slang,lm_lexicon_slang,1,0,12,31
"put that pink sock in your mouth bitch, and give it the 'ol hot popsicle",hot popsicle,slang,lm_lexicon_slang,0,1,60,72
"hey let's go to your brother's house and eedadee i was wondering if you wanted to come over and hang out tonight and possibly eedadee, (my d of course)",eedadee,slang,lm_lexicon_slang,1,0,41,48
the sign said 'i aten't dead,aten't,slang,lm_lexicon_slang,0,1,17,23
"wow, he's so fish nips",fish nips,slang,lm_lexicon_slang,0,1,13,22
