sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset,split,dataset_group,id
Em - Lê Thế Nam - cam kết đồ án nghiên cứu ( ĐANC ) là công trình nghiên cứu của riêng em dưới sự hướng dẫn của ThS. Ngô Văn Linh . Các kết quả có,ThS.,acronym,sdu_aaai22_ae_vietnamese,1,0,112,116,dev,vietnamese,
Em - Lê Thế Nam - cam kết đồ án nghiên cứu ( ĐANC ) là công trình nghiên cứu của riêng em dưới sự hướng dẫn của ThS. Ngô Văn Linh . Các kết quả có,đồ án nghiên cứu,long_form,sdu_aaai22_ae_vietnamese,0,1,26,42,dev,vietnamese,
"trong việc kết hợp các thuật toán của Manifold Learning vào hướng nghiên cứu CL truyền thống . Bên cạnh việc xây dựng một nền tảng lí thuyết cho LCL , các thực",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,77,79,dev,vietnamese,
"trong việc kết hợp các thuật toán của Manifold Learning vào hướng nghiên cứu CL truyền thống . Bên cạnh việc xây dựng một nền tảng lí thuyết cho LCL , các thực",LCL,acronym,sdu_aaai22_ae_vietnamese,1,0,145,148,dev,vietnamese,
Có tổng cộng 60000 ảnh cho tập huấn luyện và 10000 ảnh cho tập kiểm thử . Chia MNIST thành cách nhóm,MNIST,acronym,sdu_aaai22_ae_vietnamese,1,0,79,84,dev,vietnamese,
"network ) , giúp các mô hình này giảm được overfitting một cách hiệu quả . Ý Sinh viên thực hiện : Nguyễn Văn Sơn , 20143863 , K59 , Lớp KSTN - CNTT",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,137,148,dev,vietnamese,
Hình 8 : Mô tả cách xây dựng dữ liệu huấn luyện . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Sinh viên thực hiện : Nguyễn Thế Linh – 20142585 – K59 – Lớp CNTT – TT 2.03,CNTT – TT,acronym,sdu_aaai22_ae_vietnamese,0,1,317,326,dev,vietnamese,
Hình 16 : So sánh kiến trúc MOCO với các kĩ thuật trước đây ( Nguồn [ He+20 ] ) mometum 0,MOCO,acronym,sdu_aaai22_ae_vietnamese,1,0,28,32,dev,vietnamese,
"Variational Bayes ( AEVB ) là phương pháp sử dụng mạng suy diễn có khả năng ánh xạ trực tiếp một văn bản tới một phân phối hậu nghiệm xấp xỉ , có hiệu quả tính toán tương đối cao mà chi phí so với các phương pháp khác lại thấp .",AEVB,acronym,sdu_aaai22_ae_vietnamese,1,0,20,24,dev,vietnamese,
"bằng việc quan sát sự tác động khác nhau của các siêu tham số lên mô hình mà đồ án đề xuất , em nhận thấy kết quả đạt được không hề thua kém so với các kết quả SOTA hiện nay trong CL và hướng nghiên cứu này sẽ còn có thể phát triển",SOTA,acronym,sdu_aaai22_ae_vietnamese,1,0,160,164,dev,vietnamese,
"bằng việc quan sát sự tác động khác nhau của các siêu tham số lên mô hình mà đồ án đề xuất , em nhận thấy kết quả đạt được không hề thua kém so với các kết quả SOTA hiện nay trong CL và hướng nghiên cứu này sẽ còn có thể phát triển",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,180,182,dev,vietnamese,
"với các phương pháp trong CL truyền thống chính là nằm ở chỗ , các tri thức về cấu trúc cục bộ của không gian gốc được đưa vào để mô hình có thể học được . Và",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,26,28,dev,vietnamese,
"( 20 ) Ưu điểm lớn nhất của FCM là nó có thể phân các quan sát về nhiều nhóm cùng lúc . Trong tự nhiên điều này hợp lí hơn là mỗi đối tượng chỉ thuộc về một nhóm , ví dụ một",FCM,acronym,sdu_aaai22_ae_vietnamese,1,0,28,31,dev,vietnamese,
"CIFAR100 . Điều này giúp cho mô hình tránh được hiện tượng học quá khớp , do lượng dữ liệu của CIFAR10 lớn hơn rất nhiều so với dữ liệu của các tác vụ được",CIFAR100,acronym,sdu_aaai22_ae_vietnamese,1,0,0,8,dev,vietnamese,
"CIFAR100 . Điều này giúp cho mô hình tránh được hiện tượng học quá khớp , do lượng dữ liệu của CIFAR10 lớn hơn rất nhiều so với dữ liệu của các tác vụ được",CIFAR10,acronym,sdu_aaai22_ae_vietnamese,1,0,95,102,dev,vietnamese,
"Nhưng ở chiều dịch Việt - Anh , kết quả LSTM lại cao hơn kết quả ở chiều dịch Anh - Việt và trái ngược hẳn với hai mô hình Transformer và ConvS2S .",LSTM,acronym,sdu_aaai22_ae_vietnamese,1,0,40,44,dev,vietnamese,
"Nhưng ở chiều dịch Việt - Anh , kết quả LSTM lại cao hơn kết quả ở chiều dịch Anh - Việt và trái ngược hẳn với hai mô hình Transformer và ConvS2S .",ConvS2S,acronym,sdu_aaai22_ae_vietnamese,1,0,138,145,dev,vietnamese,
"liệu "" views "" và "" wants "" tương ứng . Các tham số của mô hình được ước lượng sử dụng kỹ thuật stochastic gradient descent ( SGD ) truyền thống .",SGD,acronym,sdu_aaai22_ae_vietnamese,1,0,126,129,dev,vietnamese,
". . . Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT 12",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,69,80,dev,vietnamese,
Bảng 0 .3 Tham số tốt nhất cho Split CIFAR100 EWC,CIFAR100,acronym,sdu_aaai22_ae_vietnamese,1,0,37,45,dev,vietnamese,
Bảng 0 .3 Tham số tốt nhất cho Split CIFAR100 EWC,EWC,acronym,sdu_aaai22_ae_vietnamese,1,0,46,49,dev,vietnamese,
"Ở đây đại lượng phân phối 𝑞𝑡 ( θ ) cần được chọn để ước lượng , VCL đề xuất sử 𝑘 dụng xấp xỉ bằng GMF , ở đó chiều thứ 𝑗 ′ của tham số θ = { 𝜃𝑗 } 𝑗=1 sẽ tuân theo",VCL,acronym,sdu_aaai22_ae_vietnamese,1,0,64,67,dev,vietnamese,
"Ở đây đại lượng phân phối 𝑞𝑡 ( θ ) cần được chọn để ước lượng , VCL đề xuất sử 𝑘 dụng xấp xỉ bằng GMF , ở đó chiều thứ 𝑗 ′ của tham số θ = { 𝜃𝑗 } 𝑗=1 sẽ tuân theo",GMF,acronym,sdu_aaai22_ae_vietnamese,1,0,98,101,dev,vietnamese,
"Phương pháp tối ưu là stochastic gradient descent ( SGD ) . Mô hình ITE ( Implicit to Explicit ) Như đã đề cập ở phần trước , trong một số hệ thống mà dữ liệu hành vi tiềm ẩn và",SGD,acronym,sdu_aaai22_ae_vietnamese,1,0,52,55,dev,vietnamese,
"Phương pháp tối ưu là stochastic gradient descent ( SGD ) . Mô hình ITE ( Implicit to Explicit ) Như đã đề cập ở phần trước , trong một số hệ thống mà dữ liệu hành vi tiềm ẩn và",ITE,acronym,sdu_aaai22_ae_vietnamese,1,0,68,71,dev,vietnamese,
"mua nó ) . Em gọi nhóm các mô hình loại này là Implicit To Explicit ( ITE ) . Sau đây , em sẽ giới thiệu về sáu mô hình cụ thể trong nhóm các mô hình",ITE,acronym,sdu_aaai22_ae_vietnamese,1,0,70,73,dev,vietnamese,
3 . 4 . 1 Generalized Matrix Factorization ( GMF ) Hình 18 . Mô hình Gereralized Matrix Factorization,GMF,acronym,sdu_aaai22_ae_vietnamese,1,0,45,48,dev,vietnamese,
"• Cũng giống như các phương pháp thuần lọc cộng tác khác , mô hình NeuMF gặp vấn đề cold start . Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT",NeuMF,acronym,sdu_aaai22_ae_vietnamese,1,0,67,72,dev,vietnamese,
"• Cũng giống như các phương pháp thuần lọc cộng tác khác , mô hình NeuMF gặp vấn đề cold start . Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,160,171,dev,vietnamese,
"′ Theo công thức PT 3. 15 , ta thấy nếu như thành phần 𝐶𝑜𝑣 [ 𝐿 ( 𝑚 ) , 𝐿 ( 𝑚 ) ] ≠ 0 , khi đó phương sai của khả năng xảy ra trên toàn bộ dữ liệu sẽ lớn , dẫn đến việc tối ưu",PT,acronym,sdu_aaai22_ae_vietnamese,1,0,17,19,dev,vietnamese,
2 . 2 Mô hình Gợi ý tin tức dựa trên cơ chế Học chú ý đa góc nhìn ( NAML ),NAML,acronym,sdu_aaai22_ae_vietnamese,1,0,68,72,dev,vietnamese,
2 . 2 Mô hình Gợi ý tin tức dựa trên cơ chế Học chú ý đa góc nhìn ( NAML ),Mô hình Gợi ý tin tức dựa trên cơ chế Học chú ý đa góc nhìn,long_form,sdu_aaai22_ae_vietnamese,0,1,6,65,dev,vietnamese,
Stochastic Optimization Tối ưu hóa ngẫu nhiên LSA,LSA,acronym,sdu_aaai22_ae_vietnamese,1,0,46,49,dev,vietnamese,
"CIFAR10 / 100 Trong thử nghiệm này , qua Hình 4.9 ta thấy được các kết quả đạt được trên các phương pháp đều cao hơn so với thử nghiệm trên Split Cifar 100 , mặc dù các tác",CIFAR10 / 100,acronym,sdu_aaai22_ae_vietnamese,0,1,0,13,dev,vietnamese,
"CIFAR10 / 100 Trong thử nghiệm này , qua Hình 4.9 ta thấy được các kết quả đạt được trên các phương pháp đều cao hơn so với thử nghiệm trên Split Cifar 100 , mặc dù các tác",Cifar,acronym,sdu_aaai22_ae_vietnamese,1,0,146,151,dev,vietnamese,
"Normalized discounted cumulative gain NDCG Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,106,117,dev,vietnamese,
"Normalized discounted cumulative gain NDCG Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT",NDCG,acronym,sdu_aaai22_ae_vietnamese,1,0,38,42,dev,vietnamese,
"Phần này sẽ trình bày về kỹ thuật Dropout Bayes biến phân ( VBD ) cũng như kiến thức liên quan . Để đơn giản , ta làm việc với một tầng kết nối đầy đủ ( Fullyconnected layer ) với K nơ-ron đầu vào , D nơ-ron đầu ra trước hàm kích hoạt .",VBD,acronym,sdu_aaai22_ae_vietnamese,1,0,60,63,dev,vietnamese,
"Phần này sẽ trình bày về kỹ thuật Dropout Bayes biến phân ( VBD ) cũng như kiến thức liên quan . Để đơn giản , ta làm việc với một tầng kết nối đầy đủ ( Fullyconnected layer ) với K nơ-ron đầu vào , D nơ-ron đầu ra trước hàm kích hoạt .",Dropout Bayes biến phân,long_form,sdu_aaai22_ae_vietnamese,0,1,34,57,dev,vietnamese,
"Kiến trúc của mô hình hoàn Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT 35",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,90,101,dev,vietnamese,
biểu diễn ẩn hi = f ( xi ) 3 . Một mạng MLP g ( . ) đơn giản hay còn gọi là projection head để map từ không,MLP,acronym,sdu_aaai22_ae_vietnamese,1,0,40,43,dev,vietnamese,
en và train . vi . Mô hình ngôn ngữ sử dụng mô hình ngôn ngữ dựa trên LSTM,LSTM,acronym,sdu_aaai22_ae_vietnamese,1,0,70,74,dev,vietnamese,
en và train . vi . Mô hình ngôn ngữ sử dụng mô hình ngôn ngữ dựa trên LSTM,en,acronym,sdu_aaai22_ae_vietnamese,1,0,0,2,dev,vietnamese,
en và train . vi . Mô hình ngôn ngữ sử dụng mô hình ngôn ngữ dựa trên LSTM,vi,acronym,sdu_aaai22_ae_vietnamese,1,0,14,16,dev,vietnamese,
dụng kết hợp dữ liệu hành vi tiềm ẩn và hành vi rõ ràng được công bố gần đây hay không ? • Mô hình ITE - item _ pcat và ITE - user _ item _ pcat có hiệu quả hơn khi có,ITE - item _ pcat,acronym,sdu_aaai22_ae_vietnamese,0,1,99,116,dev,vietnamese,
dụng kết hợp dữ liệu hành vi tiềm ẩn và hành vi rõ ràng được công bố gần đây hay không ? • Mô hình ITE - item _ pcat và ITE - user _ item _ pcat có hiệu quả hơn khi có,ITE - user _ item _ pcat,acronym,sdu_aaai22_ae_vietnamese,0,1,120,144,dev,vietnamese,
"sự hướng dẫn của THS. Ngô Văn Linh . Các kết quả nêu trong ĐATN là trung thực , không phải sao chép của bất cứ công",THS.,acronym,sdu_aaai22_ae_vietnamese,1,0,17,21,dev,vietnamese,
"sự hướng dẫn của THS. Ngô Văn Linh . Các kết quả nêu trong ĐATN là trung thực , không phải sao chép của bất cứ công",ĐATN,acronym,sdu_aaai22_ae_vietnamese,1,0,59,63,dev,vietnamese,
"Sentence Prediction . Masked Language Model ( MLM ) Đầu tiên , 15 % số từ trong một chuỗi sẽ được thay thế bằng [ MASK ] , sau đó được",MLM,acronym,sdu_aaai22_ae_vietnamese,1,0,46,49,dev,vietnamese,
"Kết hợp manifold learning vào Contrastive Learning : Như đã nói từ trước , việc kết hợp manifold learning vào CL dựa trên ý tưởng thuật toán LLE . Cách",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,110,112,dev,vietnamese,
"Kết hợp manifold learning vào Contrastive Learning : Như đã nói từ trước , việc kết hợp manifold learning vào CL dựa trên ý tưởng thuật toán LLE . Cách",LLE,acronym,sdu_aaai22_ae_vietnamese,1,0,141,144,dev,vietnamese,
Nội dung Impression ID,ID,acronym,sdu_aaai22_ae_vietnamese,1,0,20,22,dev,vietnamese,
"a . Kiến trúc cho thử nghiệm Split MNIST , b . Kiến trúc cho thử nghiệm Split CIFAR100 và Split CIFAR10 / 100 , trong đó k là kích thước bộ lọc , c là số kênh đầu ra , s",MNIST,acronym,sdu_aaai22_ae_vietnamese,1,0,35,40,dev,vietnamese,
"a . Kiến trúc cho thử nghiệm Split MNIST , b . Kiến trúc cho thử nghiệm Split CIFAR100 và Split CIFAR10 / 100 , trong đó k là kích thước bộ lọc , c là số kênh đầu ra , s",CIFAR100,acronym,sdu_aaai22_ae_vietnamese,1,0,78,86,dev,vietnamese,
"a . Kiến trúc cho thử nghiệm Split MNIST , b . Kiến trúc cho thử nghiệm Split CIFAR100 và Split CIFAR10 / 100 , trong đó k là kích thước bộ lọc , c là số kênh đầu ra , s",CIFAR10 / 100,acronym,sdu_aaai22_ae_vietnamese,0,1,96,109,dev,vietnamese,
"gốc trong cả quá trình học , và khi kết quả đến hội tụ sau 500 epoch , các phương pháp LCL cho kết quả nhỉnh hơn so với SimCLR khoảng 1 % độ chính xác trên tập Đồ án tốt nghiệp",LCL,acronym,sdu_aaai22_ae_vietnamese,1,0,87,90,dev,vietnamese,
"gốc trong cả quá trình học , và khi kết quả đến hội tụ sau 500 epoch , các phương pháp LCL cho kết quả nhỉnh hơn so với SimCLR khoảng 1 % độ chính xác trên tập Đồ án tốt nghiệp",SimCLR,acronym,sdu_aaai22_ae_vietnamese,1,0,120,126,dev,vietnamese,
"Kết luận Những đóng góp chính của đồ án Xuất phát từ bài toán thực tế từ dữ liệu , SSL là một hướng nghiên cứu đang",SSL,acronym,sdu_aaai22_ae_vietnamese,1,0,83,86,dev,vietnamese,
Phiên mã là bước đầu tiên trong việc chuyển thông tin di truyền từ DNA thành tính trạng . Các DNA vốn ở dạng mạch xoắn kép sẽ được tháo xoắn và tách thành hai mạch,DNA,acronym,sdu_aaai22_ae_vietnamese,1,0,67,70,dev,vietnamese,
"Đối với từng tác vụ riêng biệt , ALV cũng cho thấy khả năng vượt trội của mình hơn hai trường hợp cùng được đánh giá .",ALV,acronym,sdu_aaai22_ae_vietnamese,1,0,33,36,dev,vietnamese,
"bản d và fj là số văn bản chứa từ j . Khi đó LSI sử dụng phương pháp phân tích giá trị riêng ( cụ thể hơn là truncated Single Value Decomposition ) , để tìm ra",LSI,acronym,sdu_aaai22_ae_vietnamese,1,0,45,48,dev,vietnamese,
"tập dữ liệu đầu vào , ANN thường sẽ cần học lại từ đầu để có thể thích nghi với dữ liệu mới đó và tránh hiện tượng quên nghiêm trọng ( Catastrophic Forgetting ) [ 3 ] . Hiện tượng này xảy ra khi tham số học được từ dữ liệu cũ của mạng không phù hợp",ANN,acronym,sdu_aaai22_ae_vietnamese,1,0,22,25,dev,vietnamese,
thức PT 2.21 28,PT,acronym,sdu_aaai22_ae_vietnamese,1,0,5,7,dev,vietnamese,
"khác nhau và cập nhật một cách riêng biệt ( hình 16a ) hoặc không cần đến hai mạng encoder mà chỉ cần sample từ một memory bank để lấy negative ( hình 16b ) . Tuy nhiên , cách làm của MOCO là sử dụng một từ điển hoạt động như hàng đợi",MOCO,acronym,sdu_aaai22_ae_vietnamese,1,0,184,188,dev,vietnamese,
"Giữ lại thông tin là chưa đủ : Tuy nhiên , việc chỉ giữ nhiều thông tin nhất từ đầu vào có thể dẫn đến những điểm yếu làm cho biểu diễn ẩn mà mạng AE học ra",AE,acronym,sdu_aaai22_ae_vietnamese,1,0,147,149,dev,vietnamese,
"lớn về mặt tính toán , cụ thể các mô hình CL thường muốn có kích thước batch lớn để tăng được số mẫu negative . Trong một số phương pháp khác , việc phải",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,42,44,dev,vietnamese,
30 Hình 4 . 1 Biểu đồ ROC Trong đó :,ROC,acronym,sdu_aaai22_ae_vietnamese,1,0,22,25,dev,vietnamese,
"lý . Đặc biệt là loại văn bản trên web có lẫn các HTML tag , code JS , đó chính là nhiễu . Tiền xử lý được xây dựng trên 4 bước :",HTML,acronym,sdu_aaai22_ae_vietnamese,1,0,50,54,dev,vietnamese,
"lý . Đặc biệt là loại văn bản trên web có lẫn các HTML tag , code JS , đó chính là nhiễu . Tiền xử lý được xây dựng trên 4 bước :",JS,acronym,sdu_aaai22_ae_vietnamese,1,0,66,68,dev,vietnamese,
"Từ tập các vector thu được ở bước một ta đưa qua các CNN block đưa ra vector biểu diễn cho câu . Module 3 ( pair module ) : Sử dụng các cơ chế attention , label embeddings , connective",CNN,acronym,sdu_aaai22_ae_vietnamese,1,0,53,56,dev,vietnamese,
áp dụng hướng nghiên cứu SSL trong các lĩnh vực trên mà sẽ chỉ hướng đến việc đi sâu vào trọng tâm một vài phương pháp rất mới trong SSL và tìm cách để cải thiện các phương pháp đó theo một tư duy mới .,SSL,acronym,sdu_aaai22_ae_vietnamese,1,0,25,28,dev,vietnamese,
"thay đổi bất thường của dữ liệu dòng , đặc biệt là concept drift . Tuy nhiên chúng ta có thể thấy phương pháp học của HPP là khá phức tạp , đặc biệt với những",HPP,acronym,sdu_aaai22_ae_vietnamese,1,0,118,121,dev,vietnamese,
và mở rộng sâu hơn nữa cho nhiều mô hình khác của CL . Đồ án tốt nghiệp 7,CL,acronym,sdu_aaai22_ae_vietnamese,1,0,50,52,dev,vietnamese,
"4 . Các thuật toán regularization : Ridge Regression , Least Absolute Shrinkage and Selection Operator ( LASSO ) , Least-Angle Regression ( LARS ) , . . . 12",LASSO,acronym,sdu_aaai22_ae_vietnamese,1,0,105,110,dev,vietnamese,
"4 . Các thuật toán regularization : Ridge Regression , Least Absolute Shrinkage and Selection Operator ( LASSO ) , Least-Angle Regression ( LARS ) , . . . 12",LARS,acronym,sdu_aaai22_ae_vietnamese,1,0,140,144,dev,vietnamese,
các thử nghiệm . Các thử nghiệm được thực hiện trên bộ dữ liệu chuẩn Penn Discourse Treebank ( PDTB ) .,PDTB,acronym,sdu_aaai22_ae_vietnamese,1,0,95,99,dev,vietnamese,
"– Tất nhiên , mô hình vẫn chưa giải quyết được vấn đề cold start Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT 34",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,128,139,dev,vietnamese,
4 . 2 Độ đo WER Độ đo được sử dụng cho bước nhận dạng văn bản là Word Error Rate ( WER ) .,WER,acronym,sdu_aaai22_ae_vietnamese,1,0,12,15,dev,vietnamese,
"dữ liệu khi đã biết tham số mô hình được định nghĩa : L ( θ ) = p ( D | θ ) . Khi đó ước lượng hợp lý cực đại ( Maximum Likelihood estimator , MLE ) tìm ra tham số θM LE",MLE,acronym,sdu_aaai22_ae_vietnamese,1,0,143,146,dev,vietnamese,
"dữ liệu khi đã biết tham số mô hình được định nghĩa : L ( θ ) = p ( D | θ ) . Khi đó ước lượng hợp lý cực đại ( Maximum Likelihood estimator , MLE ) tìm ra tham số θM LE",ước lượng hợp lý cực đại,long_form,sdu_aaai22_ae_vietnamese,0,1,85,109,dev,vietnamese,
i=1 Phương pháp đề xuất bởi đồ án được đặt tên là VBD - CL . VBD - CL được so sánh,VBD - CL,acronym,sdu_aaai22_ae_vietnamese,0,1,50,58,dev,vietnamese,
Bảng 0 .5 Tham số tốt nhất cho Split Omniglot EWC,EWC,acronym,sdu_aaai22_ae_vietnamese,1,0,46,49,dev,vietnamese,
"- Cung cấp một nền tảng lý tưởng , cho phép cung cấp tích hợp các kỹ thuật hiện đại như mô hình thiết kế hướng đối tượng , hệ chuyên gia , hệ thông tin địa lý ( GIS ) .",GIS,acronym,sdu_aaai22_ae_vietnamese,1,0,161,164,dev,vietnamese,
"- Cung cấp một nền tảng lý tưởng , cho phép cung cấp tích hợp các kỹ thuật hiện đại như mô hình thiết kế hướng đối tượng , hệ chuyên gia , hệ thông tin địa lý ( GIS ) .",hệ thông tin địa lý,long_form,sdu_aaai22_ae_vietnamese,0,1,139,158,dev,vietnamese,
hình 31 : ACD ca sử dụng đăng bài tuyển dụng 3.4 .11 . Xem các bài tuyển dụng đã đăng,ACD,acronym,sdu_aaai22_ae_vietnamese,1,0,10,13,dev,vietnamese,
Tác v 10 VBD - CL UCL,VBD - CL,acronym,sdu_aaai22_ae_vietnamese,0,1,9,17,dev,vietnamese,
Tác v 10 VBD - CL UCL,UCL,acronym,sdu_aaai22_ae_vietnamese,1,0,18,21,dev,vietnamese,
"( 𝜃𝑗 − 𝜃𝑡−1,𝑗 2 Đối với việc áp dụng cho EWC do chỉ sử dụng mạng nơ-ron nhân tạo kết nối",EWC,acronym,sdu_aaai22_ae_vietnamese,1,0,41,44,dev,vietnamese,
viên tiềm năng 2 – Hệ thống sẽ gửi lại thông tin của ứng viên 3 – NTD chọn vào mục thao tác trên 1 hồ sơ,NTD,acronym,sdu_aaai22_ae_vietnamese,1,0,66,69,dev,vietnamese,
"bằng cách lấy kì vọng của phân phối biến phân tương ứng ( với phân phối Dir , kỳ vọng chính là giá trị trung bình của tham số ) , cụ thể : • Với mỗi văn bản d = 1 , ... , D : θ̂dk ∝ γdk ( chuẩn hóa vectơ K chiều γd )",Dir,acronym,sdu_aaai22_ae_vietnamese,1,0,72,75,dev,vietnamese,
công việc của VD [ 11 ] . Công việc của đồ án sẽ mượn ý tưởng của VD và áp dụng cho bài toán Học liên tục bằng việc bổ sung thành phần tham số cục bộ tương tự như ý tưởng thêm,VD,acronym,sdu_aaai22_ae_vietnamese,1,0,14,16,dev,vietnamese,
"Lấy ví dụ một banner nằm ở vị trí zone 2 có thể hay được click hơn so với khi đặt ở vị trí Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,154,165,dev,vietnamese,
"để xấp xỉ cho phân phối thực của 𝑠 khi đã biết dữ liệu . Trong công việc hiện tại để thuận tiện tính toán , phương pháp GMF được sử dụng để lựa chọn cho 𝑞 ( 𝑠 ) , trong",GMF,acronym,sdu_aaai22_ae_vietnamese,1,0,120,123,dev,vietnamese,
Augmentation ( DA ) vào Decoder của mô hình DVAE và thay thế phép thêm nhiễu vào dữ liệu trước khi đưa vào mạng Encoder của mô hình . Các kết quả cho thấy sự,DA,acronym,sdu_aaai22_ae_vietnamese,1,0,15,17,dev,vietnamese,
