batch,stage,file,rows
medslangbert_batch_2,lg_outputs,lg_preds_sw.csv,37275
medslangbert_batch_2,lg_outputs,lg_scoring_breakdown.csv,38269
medslangbert_batch_2,lg_outputs,lg_thr_metrics.csv,4
medslangbert_batch_2,lg_outputs,lg_preds_all.csv,38269
medslangbert_batch_2,ma_outputs,ma_metrics_all.csv,3
medslangbert_batch_2,ma_outputs,ma_preds_sw.csv,37275
medslangbert_batch_2,ma_outputs,ma_preds_all.csv,38269
medslangbert_batch_2,ma_outputs,ma_preds_mw.csv,994
medslangbert_batch_2,ma_outputs,ma_thr_metrics.csv,25
medslangbert_batch_2,lf_outputs,lf_preds_all.csv,38269
medslangbert_batch_2,lf_outputs,lf_weights.csv,4
medslangbert_batch_2,lf_outputs,lf_thr_metrics.csv,8
medslangbert_batch_2,lf_outputs,preds_compiled.csv,38269
medslangbert_batch_2,lf_outputs,lf_preds_mw.csv,994
medslangbert_batch_2,lf_outputs,lf_metrics_all.csv,3
medslangbert_batch_2,lf_outputs,lf_preds_sw.csv,37275
medslangbert_batch_3,mt_outputs,mt_preds_mw.csv,940
medslangbert_batch_3,mt_outputs,mt_preds_sw.csv,36628
medslangbert_batch_3,mt_outputs,thr_metrics.csv,5
medslangbert_batch_3,mt_outputs,mt_metrics_all.csv,3
medslangbert_batch_3,mt_outputs,mt_preds_all.csv,37568
medslangbert_batch_3,sc_outputs,sc_preds_mw.csv,940
medslangbert_batch_3,sc_outputs,sc_thr_metrics.csv,7
medslangbert_batch_3,sc_outputs,sc_preds_sw.csv,36628
medslangbert_batch_3,sc_outputs,sc_metrics_all.csv,3
medslangbert_batch_3,sc_outputs,sc_scoring_breakdown.csv,37568
medslangbert_batch_3,sc_outputs,sc_preds_all.csv,37568
medslangbert_batch_3,lg_outputs,lg_metrics_all.csv,3
medslangbert_batch_3,lg_outputs,lg_preds_mw.csv,940
medslangbert_batch_3,lg_outputs,lg_preds_sw.csv,36628
medslangbert_batch_3,lg_outputs,lg_scoring_breakdown.csv,37568
medslangbert_batch_3,lg_outputs,lg_thr_metrics.csv,4
medslangbert_batch_3,lg_outputs,lg_preds_all.csv,37568
medslangbert_batch_3,ma_outputs,ma_metrics_all.csv,3
medslangbert_batch_3,ma_outputs,ma_preds_sw.csv,36628
medslangbert_batch_3,ma_outputs,ma_preds_all.csv,37568
medslangbert_batch_3,ma_outputs,ma_preds_mw.csv,940
medslangbert_batch_3,ma_outputs,ma_thr_metrics.csv,25
medslangbert_batch_3,lf_outputs,lf_preds_all.csv,37568
medslangbert_batch_3,lf_outputs,lf_weights.csv,4
medslangbert_batch_3,lf_outputs,lf_thr_metrics.csv,8
medslangbert_batch_3,lf_outputs,preds_compiled.csv,37568
medslangbert_batch_3,lf_outputs,lf_preds_mw.csv,940
medslangbert_batch_3,lf_outputs,lf_metrics_all.csv,3
medslangbert_batch_3,lf_outputs,lf_preds_sw.csv,36628
