doc_id,sentence,spanish_sentence,back_to_english_sentence,candidate,candidate_norm,best_back_translation_word,fuzz_ratio,term_failed_to_translate,is_named_entity,specialized,is_gold,gold_terms
20,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
20,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",flexin,flexin,showing,30.769,0,0,1,1,lowkey; flexin’
21,"Bruh, big yikes  ","Hombre, gran asco","Geez, that's disgusting.",Bruh,bruh,that's,20.000,0,0,1,0,yikes
21,"Bruh, big yikes  ","Hombre, gran asco","Geez, that's disgusting.",big,big,disgusting,30.769,0,0,1,0,yikes
21,"Bruh, big yikes  ","Hombre, gran asco","Geez, that's disgusting.",yikes,yikes,disgusting,26.667,0,0,1,1,yikes
22,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",Bro,bro,around,44.444,0,1,1,0,fold; IRL
22,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",IRL,irl,real,57.143,0,1,1,1,fold; IRL
22,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",fold,fold,around,40.000,0,0,1,1,fold; IRL
23,"Homie, skibidi outta here, sigma style  ","Amigo, skibidi fuera de aquí, estilo sigma","Friend, Skibidi out of here, sigma style",Homie,homie,here,44.444,0,1,1,0,skibidi outta here
23,"Homie, skibidi outta here, sigma style  ","Amigo, skibidi fuera de aquí, estilo sigma","Friend, Skibidi out of here, sigma style",skibidi,skibidi,skibidi,100.000,1,0,1,1,skibidi outta here
23,"Homie, skibidi outta here, sigma style  ","Amigo, skibidi fuera de aquí, estilo sigma","Friend, Skibidi out of here, sigma style",outta,outta,out,75.000,0,0,1,1,skibidi outta here
23,"Homie, skibidi outta here, sigma style  ","Amigo, skibidi fuera de aquí, estilo sigma","Friend, Skibidi out of here, sigma style",sigma,sigma,sigma,100.000,1,0,1,0,skibidi outta here
24,"Mate, this vibe is straight mid  ","Amigo, esta onda es completamente normal.","Friend, this wave is completely normal.",Mate,mate,wave,50.000,0,0,1,0,mid
24,"Mate, this vibe is straight mid  ","Amigo, esta onda es completamente normal.","Friend, this wave is completely normal.",vibe,vibe,wave,50.000,0,0,1,0,mid
24,"Mate, this vibe is straight mid  ","Amigo, esta onda es completamente normal.","Friend, this wave is completely normal.",straight,straight,this,33.333,0,0,1,0,mid
24,"Mate, this vibe is straight mid  ","Amigo, esta onda es completamente normal.","Friend, this wave is completely normal.",mid,mid,friend,44.444,0,0,1,1,mid
25,"Mate, big yikes  ","Amigo, ¡gran horror.","Friend, great horror.",Mate,mate,great,44.444,0,0,1,0,yikes
25,"Mate, big yikes  ","Amigo, ¡gran horror.","Friend, great horror.",big,big,great,25.000,0,0,1,0,yikes
25,"Mate, big yikes  ","Amigo, ¡gran horror.","Friend, great horror.",yikes,yikes,friend,36.364,0,0,1,1,yikes
26,"Bro, this vibe is straight mid  ","Hombre, esta onda es completamente mediocre.","Dude, this wave is completely mediocre.",Bro,bro,mediocre,18.182,0,0,1,0,mid
26,"Bro, this vibe is straight mid  ","Hombre, esta onda es completamente mediocre.","Dude, this wave is completely mediocre.",vibe,vibe,wave,50.000,0,0,1,0,mid
26,"Bro, this vibe is straight mid  ","Hombre, esta onda es completamente mediocre.","Dude, this wave is completely mediocre.",straight,straight,this,33.333,0,0,1,0,mid
26,"Bro, this vibe is straight mid  ","Hombre, esta onda es completamente mediocre.","Dude, this wave is completely mediocre.",mid,mid,is,40.000,0,0,1,1,mid
27,"Fam, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",Fam,fam,come,28.571,0,0,1,0,sus
27,"Fam, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",pull,pull,buddy,22.222,0,0,1,0,sus
27,"Fam, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",up,up,buddy,28.571,0,0,1,0,sus
27,"Fam, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",sus,sus,stay,28.571,0,0,1,1,sus
28,"Yo, this vibe is straight mid  ","Yo, esta vibra es directa y del medio.","I, this vibe is direct and in the middle.",Yo,yo,i,0.000,0,0,1,0,mid
28,"Yo, this vibe is straight mid  ","Yo, esta vibra es directa y del medio.","I, this vibe is direct and in the middle.",straight,straight,the,36.364,0,0,1,0,mid
28,"Yo, this vibe is straight mid  ","Yo, esta vibra es directa y del medio.","I, this vibe is direct and in the middle.",mid,mid,middle,66.667,0,0,1,1,mid
29,"Mate, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",Mate,mate,a,40.000,0,0,1,0,lowkey; flexin’
29,"Mate, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
29,"Mate, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",flexin,flexin,friend,50.000,0,0,1,1,lowkey; flexin’
30,"Sis, big yikes  ","Ay, caramba grande.",Oh my goodness.,Sis,sis,goodness,36.364,0,0,1,0,yikes
30,"Sis, big yikes  ","Ay, caramba grande.",Oh my goodness.,big,big,goodness,18.182,0,0,1,0,yikes
30,"Sis, big yikes  ","Ay, caramba grande.",Oh my goodness.,yikes,yikes,goodness,30.769,0,0,1,1,yikes
31,"Bruh, skibidi outta here, sigma style  ","Hombre, skibidi fuera de aquí, estilo sigma","Man, skibidi get out of here, sigma style",Bruh,bruh,out,28.571,0,0,1,0,skibidi outta here
31,"Bruh, skibidi outta here, sigma style  ","Hombre, skibidi fuera de aquí, estilo sigma","Man, skibidi get out of here, sigma style",skibidi,skibidi,skibidi,100.000,1,0,1,1,skibidi outta here
31,"Bruh, skibidi outta here, sigma style  ","Hombre, skibidi fuera de aquí, estilo sigma","Man, skibidi get out of here, sigma style",outta,outta,out,75.000,0,0,1,1,skibidi outta here
31,"Bruh, skibidi outta here, sigma style  ","Hombre, skibidi fuera de aquí, estilo sigma","Man, skibidi get out of here, sigma style",sigma,sigma,sigma,100.000,1,0,1,0,skibidi outta here
32,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",Homie,homie,friend,36.364,0,1,1,0,yikes
32,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",big,big,disgusting,30.769,0,0,1,0,yikes
32,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",yikes,yikes,friend,36.364,0,0,1,1,yikes
33,"Fam, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",Fam,fam,a,50.000,0,0,1,0,lowkey; flexin’
33,"Fam, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
33,"Fam, lowkey flexin’  ","Amigo, estoy mostrando un poco de orgullo.","Friend, I'm showing a bit of pride.",flexin,flexin,friend,50.000,0,0,1,1,lowkey; flexin’
34,"Yo, pull up or stay sus  ","Yo, sube o quédate aquí.","You, go up or stay here.",Yo,yo,you,80.000,0,0,1,0,sus
34,"Yo, pull up or stay sus  ","Yo, sube o quédate aquí.","You, go up or stay here.",pull,pull,up,33.333,0,0,1,0,sus
34,"Yo, pull up or stay sus  ","Yo, sube o quédate aquí.","You, go up or stay here.",sus,sus,up,40.000,0,0,1,1,sus
35,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",Homie,homie,friend,36.364,0,1,1,0,touch some grass
35,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",touch,touch,of,28.571,0,0,1,1,touch some grass
35,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",some,some,of,33.333,0,0,1,1,touch some grass
36,"Bro, whole squad waitin’  ","Hermano, toda la escuadra está esperando.","Brother, the whole crew is waiting.",Bro,bro,brother,60.000,0,1,1,0,whole squad; waitin’
36,"Bro, whole squad waitin’  ","Hermano, toda la escuadra está esperando.","Brother, the whole crew is waiting.",squad,squad,is,28.571,0,0,1,1,whole squad; waitin’
36,"Bro, whole squad waitin’  ","Hermano, toda la escuadra está esperando.","Brother, the whole crew is waiting.",waitin,waitin,waiting,92.308,0,0,1,1,whole squad; waitin’
37,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",Mate,mate,come,50.000,0,0,1,0,sus
37,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",pull,pull,up,33.333,0,0,1,0,sus
37,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",sus,sus,up,40.000,0,0,1,1,sus
38,"Sis, stop cappin’, lowkey annoyed  ","Hermana, deja de hablar por hablar, estoy un poco molesta.","Sister, stop talking just to talk, I'm a bit annoyed.",Sis,sis,sister,66.667,0,0,1,0,cappin’; lowkey
38,"Sis, stop cappin’, lowkey annoyed  ","Hermana, deja de hablar por hablar, estoy un poco molesta.","Sister, stop talking just to talk, I'm a bit annoyed.",cappin,cappin,talking,46.154,0,0,1,1,cappin’; lowkey
38,"Sis, stop cappin’, lowkey annoyed  ","Hermana, deja de hablar por hablar, estoy un poco molesta.","Sister, stop talking just to talk, I'm a bit annoyed.",lowkey,lowkey,talk,40.000,0,0,1,1,cappin’; lowkey
39,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",Sis,sis,is,80.000,0,0,1,0,mid
39,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",vibe,vibe,vibration,46.154,0,0,1,0,mid
39,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",straight,straight,vibration,35.294,0,0,1,0,mid
39,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",mid,mid,is,40.000,0,0,1,1,mid
40,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",Bruh,bruh,around,40.000,0,0,1,0,fold; IRL
40,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",IRL,irl,real,57.143,0,1,1,1,fold; IRL
40,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",fold,fold,around,40.000,0,0,1,1,fold; IRL
41,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",Fam,fam,waiting,20.000,0,0,1,0,whole squad; waitin’
41,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",squad,squad,is,28.571,0,0,1,1,whole squad; waitin’
41,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",waitin,waitin,waiting,92.308,0,0,1,1,whole squad; waitin’
42,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",Dude,dude,pride,44.444,0,0,1,0,lowkey; flexin’
42,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
42,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",flexin,flexin,showing,30.769,0,0,1,1,lowkey; flexin’
43,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",Bruh,bruh,behind,40.000,0,0,1,0,ghosted
43,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",you,you,you've,66.667,0,0,1,0,ghosted
43,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",ghosted,ghosted,you've,30.769,0,0,1,1,ghosted
44,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",Fam,fam,waiting,20.000,0,0,1,0,whole squad; waitin’
44,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",squad,squad,is,28.571,0,0,1,1,whole squad; waitin’
44,"Fam, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",waitin,waitin,waiting,92.308,0,0,1,1,whole squad; waitin’
45,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",Homie,homie,friend,36.364,0,1,1,0,yikes
45,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",big,big,disgusting,30.769,0,0,1,0,yikes
45,"Homie, big yikes  ","Amigo, gran asco","Friend, that's really disgusting.",yikes,yikes,friend,36.364,0,0,1,1,yikes
46,"Bro, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",Bro,bro,to,40.000,0,1,1,0,cappin’; lowkey
46,"Bro, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",cappin,cappin,talking,46.154,0,0,1,1,cappin’; lowkey
46,"Bro, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",lowkey,lowkey,talk,40.000,0,0,1,1,cappin’; lowkey
47,"Sis, whole squad waitin’  ","Hermano, toda la plantilla está esperando.","Brother, the whole team is waiting.",Sis,sis,is,80.000,0,0,1,0,whole squad; waitin’
47,"Sis, whole squad waitin’  ","Hermano, toda la plantilla está esperando.","Brother, the whole team is waiting.",squad,squad,is,28.571,0,0,1,1,whole squad; waitin’
47,"Sis, whole squad waitin’  ","Hermano, toda la plantilla está esperando.","Brother, the whole team is waiting.",waitin,waitin,waiting,92.308,0,0,1,1,whole squad; waitin’
48,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",Homie,homie,friend,36.364,0,1,1,0,touch some grass
48,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",touch,touch,of,28.571,0,0,1,1,touch some grass
48,"Homie, touch some grass  ","Amigo, toca un poco de hierba.","Friend, take a little bit of grass.",some,some,of,33.333,0,0,1,1,touch some grass
49,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",Fam,fam,a,50.000,0,0,1,0,cappin’; lowkey
49,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",cappin,cappin,talking,46.154,0,0,1,1,cappin’; lowkey
49,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",lowkey,lowkey,talk,40.000,0,0,1,1,cappin’; lowkey
50,"Dude, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",Dude,dude,the,28.571,0,0,1,0,whole squad; waitin’
50,"Dude, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",squad,squad,is,28.571,0,0,1,1,whole squad; waitin’
50,"Dude, whole squad waitin’  ","Hombre, toda la escuadra está esperando.","Gentlemen, the whole crew is waiting.",waitin,waitin,waiting,92.308,0,0,1,1,whole squad; waitin’
